TS,Load
2019-01-01 23:30:00,8.14
2019-01-02 00:00:00,8.18
2019-01-02 00:30:00,8.08
2019-01-02 01:00:00,8.06
2019-01-02 01:30:00,8.02
2019-01-02 02:00:00,8.06
2019-01-02 02:30:00,7.96
2019-01-02 03:00:00,7.94
2019-01-02 03:30:00,7.94
2019-01-02 04:00:00,7.9
2019-01-02 04:30:00,7.92
2019-01-02 05:00:00,8.12
2019-01-02 05:30:00,7.78
2019-01-02 06:00:00,7.38
2019-01-02 06:30:00,7.46
2019-01-02 07:00:00,7.58
2019-01-02 07:30:00,7.68
2019-01-02 08:00:00,7.62
2019-01-02 08:30:00,7.72
2019-01-02 09:00:00,7.88
2019-01-02 09:30:00,8.12
2019-01-02 10:00:00,8.06
2019-01-02 10:30:00,8.26
2019-01-02 11:00:00,8.32
2019-01-02 11:30:00,8.16
2019-01-02 12:00:00,8.16
2019-01-02 12:30:00,8.26
2019-01-02 13:00:00,8.34
2019-01-02 13:30:00,8.46
2019-01-02 14:00:00,8.28
2019-01-02 14:30:00,8.5
2019-01-02 15:00:00,8.24
2019-01-02 15:30:00,8.22
2019-01-02 16:00:00,8.32
2019-01-02 16:30:00,8.2
2019-01-02 17:00:00,8.14
2019-01-02 17:30:00,8.16
2019-01-02 18:00:00,7.9
2019-01-02 18:30:00,7.98
2019-01-02 19:00:00,9.26
2019-01-02 19:30:00,9.4
2019-01-02 20:00:00,9.44
2019-01-02 20:30:00,9.36
2019-01-02 21:00:00,9.46
2019-01-02 21:30:00,9.44
2019-01-02 22:00:00,9.46
2019-01-02 22:30:00,9.24
2019-01-02 23:00:00,9.28
2019-01-02 23:30:00,9.24
2019-01-03 00:00:00,9.3
2019-01-03 00:30:00,9.36
2019-01-03 01:00:00,9.36
2019-01-03 01:30:00,9.36
2019-01-03 02:00:00,9.16
2019-01-03 02:30:00,9.14
2019-01-03 03:00:00,9.18
2019-01-03 03:30:00,9.18
2019-01-03 04:00:00,10.56
2019-01-03 04:30:00,9.98
