TS,Load
2019-01-01 23:30:00,213.5
2019-01-02 00:00:00,195.32
2019-01-02 00:30:00,227.46
2019-01-02 01:00:00,220.86
2019-01-02 01:30:00,207.56
2019-01-02 02:00:00,219.58
2019-01-02 02:30:00,246.34
2019-01-02 03:00:00,252.16
2019-01-02 03:30:00,218.24
2019-01-02 04:00:00,214.02
2019-01-02 04:30:00,208.7
2019-01-02 05:00:00,205.0
2019-01-02 05:30:00,212.6
2019-01-02 06:00:00,213.76
2019-01-02 06:30:00,227.4
2019-01-02 07:00:00,207.94
2019-01-02 07:30:00,225.66
2019-01-02 08:00:00,243.0
2019-01-02 08:30:00,246.92
2019-01-02 09:00:00,266.56
2019-01-02 09:30:00,240.0
2019-01-02 10:00:00,220.86
2019-01-02 10:30:00,253.82
2019-01-02 11:00:00,246.46
2019-01-02 11:30:00,228.74
2019-01-02 12:00:00,221.88
2019-01-02 12:30:00,265.02
2019-01-02 13:00:00,267.14
2019-01-02 13:30:00,264.32
2019-01-02 14:00:00,264.38
2019-01-02 14:30:00,274.44
2019-01-02 15:00:00,275.96
2019-01-02 15:30:00,264.06
2019-01-02 16:00:00,249.4
2019-01-02 16:30:00,243.14
2019-01-02 17:00:00,224.26
2019-01-02 17:30:00,246.2
2019-01-02 18:00:00,253.88
2019-01-02 18:30:00,230.92
2019-01-02 19:00:00,224.96
2019-01-02 19:30:00,225.16
2019-01-02 20:00:00,227.08
2019-01-02 20:30:00,237.18
2019-01-02 21:00:00,253.82
2019-01-02 21:30:00,195.96
2019-01-02 22:00:00,183.94
2019-01-02 22:30:00,182.4
2019-01-02 23:00:00,166.84
2019-01-02 23:30:00,172.42
2019-01-03 00:00:00,160.9
2019-01-03 00:30:00,185.54
2019-01-03 01:00:00,182.52
2019-01-03 01:30:00,183.16
2019-01-03 02:00:00,187.08
2019-01-03 02:30:00,199.48
2019-01-03 03:00:00,207.8
2019-01-03 03:30:00,189.12
2019-01-03 04:00:00,180.86
2019-01-03 04:30:00,173.18
2019-01-03 05:00:00,151.3
2019-01-03 05:30:00,172.8
2019-01-03 06:00:00,172.8
2019-01-03 06:30:00,201.28
2019-01-03 07:00:00,180.74
2019-01-03 07:30:00,180.36
2019-01-03 08:00:00,185.4
2019-01-03 08:30:00,203.78
2019-01-03 09:00:00,219.14
2019-01-03 09:30:00,250.44
2019-01-03 10:00:00,269.0
2019-01-03 10:30:00,262.28
2019-01-03 11:00:00,255.8
2019-01-03 11:30:00,247.88
2019-01-03 12:00:00,248.2
2019-01-03 12:30:00,260.92
2019-01-03 13:00:00,265.22
2019-01-03 13:30:00,259.9
2019-01-03 14:00:00,254.14
2019-01-03 14:30:00,270.52
2019-01-03 15:00:00,272.26
2019-01-03 15:30:00,259.9
2019-01-03 16:00:00,263.68
2019-01-03 16:30:00,221.18
2019-01-03 17:00:00,206.2
2019-01-03 17:30:00,258.76
2019-01-03 18:00:00,241.98
2019-01-03 18:30:00,221.88
2019-01-03 19:00:00,246.34
2019-01-03 19:30:00,261.82
2019-01-03 20:00:00,257.02
2019-01-03 20:30:00,274.18
2019-01-03 21:00:00,275.96
2019-01-03 21:30:00,251.84
2019-01-03 22:00:00,253.64
2019-01-03 22:30:00,256.52
2019-01-03 23:00:00,247.56
2019-01-03 23:30:00,200.96
2019-01-04 00:00:00,236.42
2019-01-04 00:30:00,233.02
2019-01-04 01:00:00,238.28
2019-01-04 01:30:00,232.44
2019-01-04 02:00:00,229.56
2019-01-04 02:30:00,260.28
2019-01-04 03:00:00,265.02
2019-01-04 03:30:00,248.0
2019-01-04 04:00:00,212.6
2019-01-04 04:30:00,222.84
2019-01-04 05:00:00,203.4
2019-01-04 05:30:00,220.54
2019-01-04 06:00:00,209.02
2019-01-04 06:30:00,252.36
2019-01-04 07:00:00,253.06
2019-01-04 07:30:00,250.18
2019-01-04 08:00:00,260.04
2019-01-04 08:30:00,279.74
2019-01-04 09:00:00,287.68
2019-01-04 09:30:00,282.36
2019-01-04 10:00:00,287.36
2019-01-04 10:30:00,274.82
2019-01-04 11:00:00,274.56
2019-01-04 11:30:00,241.86
2019-01-04 12:00:00,231.42
2019-01-04 12:30:00,255.24
2019-01-04 13:00:00,220.68
2019-01-04 13:30:00,241.08
2019-01-04 14:00:00,233.02
2019-01-04 14:30:00,241.02
2019-01-04 15:00:00,268.28
2019-01-04 15:30:00,217.48
2019-01-04 16:00:00,224.96
2019-01-04 16:30:00,222.52
2019-01-04 17:00:00,191.62
2019-01-04 17:30:00,223.04
2019-01-04 18:00:00,226.5
2019-01-04 18:30:00,213.96
2019-01-04 19:00:00,229.06
2019-01-04 19:30:00,256.32
2019-01-04 20:00:00,221.12
2019-01-04 20:30:00,248.12
2019-01-04 21:00:00,256.2
2019-01-04 21:30:00,220.04
2019-01-04 22:00:00,223.94
2019-01-04 22:30:00,239.24
2019-01-04 23:00:00,229.38
2019-01-04 23:30:00,223.94
2019-01-05 00:00:00,213.96
2019-01-05 00:30:00,232.9
2019-01-05 01:00:00,210.88
2019-01-05 01:30:00,233.86
2019-01-05 02:00:00,229.76
2019-01-05 02:30:00,245.82
2019-01-05 03:00:00,257.22
2019-01-05 03:30:00,218.3
2019-01-05 04:00:00,214.28
2019-01-05 04:30:00,327.68
2019-01-05 05:00:00,351.48
2019-01-05 05:30:00,385.02
2019-01-05 06:00:00,496.9
2019-01-05 06:30:00,548.92
2019-01-05 07:00:00,534.46
2019-01-05 07:30:00,544.06
2019-01-05 08:00:00,545.98
2019-01-05 08:30:00,601.08
2019-01-05 09:00:00,579.58
2019-01-05 09:30:00,555.46
2019-01-05 10:00:00,570.5
2019-01-05 10:30:00,574.66
2019-01-05 11:00:00,590.08
2019-01-05 11:30:00,543.16
2019-01-05 12:00:00,571.32
2019-01-05 12:30:00,589.38
2019-01-05 13:00:00,564.8
2019-01-05 13:30:00,574.02
2019-01-05 14:00:00,585.86
2019-01-05 14:30:00,614.46
2019-01-05 15:00:00,608.06
2019-01-05 15:30:00,551.68
2019-01-05 16:00:00,534.84
2019-01-05 16:30:00,507.2
2019-01-05 17:00:00,483.46
2019-01-05 17:30:00,503.94
2019-01-05 18:00:00,467.96
2019-01-05 18:30:00,428.74
2019-01-05 19:00:00,433.16
2019-01-05 19:30:00,454.72
2019-01-05 20:00:00,446.46
2019-01-05 20:30:00,446.08
2019-01-05 21:00:00,445.24
2019-01-05 21:30:00,402.76
2019-01-05 22:00:00,395.0
2019-01-05 22:30:00,383.36
2019-01-05 23:00:00,363.72
2019-01-05 23:30:00,340.28
2019-01-06 00:00:00,353.8
2019-01-06 00:30:00,384.96
2019-01-06 01:00:00,365.18
2019-01-06 01:30:00,362.04
2019-01-06 02:00:00,380.28
2019-01-06 02:30:00,370.94
2019-01-06 03:00:00,397.06
2019-01-06 03:30:00,350.98
2019-01-06 04:00:00,365.44
2019-01-06 04:30:00,401.66
2019-01-06 05:00:00,456.44
2019-01-06 05:30:00,498.44
2019-01-06 06:00:00,582.2
2019-01-06 06:30:00,579.64
2019-01-06 07:00:00,577.6
2019-01-06 07:30:00,599.1
2019-01-06 08:00:00,590.6
2019-01-06 08:30:00,604.28
2019-01-06 09:00:00,594.36
2019-01-06 09:30:00,586.62
2019-01-06 10:00:00,595.84
2019-01-06 10:30:00,584.64
2019-01-06 11:00:00,600.32
2019-01-06 11:30:00,577.16
2019-01-06 12:00:00,566.4
2019-01-06 12:30:00,618.68
2019-01-06 13:00:00,649.54
2019-01-06 13:30:00,630.14
2019-01-06 14:00:00,668.42
2019-01-06 14:30:00,670.98
2019-01-06 15:00:00,603.72
2019-01-06 15:30:00,599.1
2019-01-06 16:00:00,609.34
2019-01-06 16:30:00,563.32
2019-01-06 17:00:00,547.26
2019-01-06 17:30:00,545.98
2019-01-06 18:00:00,532.42
2019-01-06 18:30:00,476.42
2019-01-06 19:00:00,463.48
2019-01-06 19:30:00,455.62
2019-01-06 20:00:00,455.1
2019-01-06 20:30:00,484.92
2019-01-06 21:00:00,480.44
2019-01-06 21:30:00,443.2
2019-01-06 22:00:00,432.32
2019-01-06 22:30:00,397.0
2019-01-06 23:00:00,422.2
2019-01-06 23:30:00,372.22
2019-01-07 00:00:00,399.88
2019-01-07 00:30:00,422.92
2019-01-07 01:00:00,416.2
2019-01-07 01:30:00,447.74
2019-01-07 02:00:00,463.42
2019-01-07 02:30:00,417.66
2019-01-07 03:00:00,430.78
2019-01-07 03:30:00,407.56
2019-01-07 04:00:00,397.44
2019-01-07 04:30:00,457.6
2019-01-07 05:00:00,461.76
2019-01-07 05:30:00,540.28
2019-01-07 06:00:00,620.86
2019-01-07 06:30:00,617.02
2019-01-07 07:00:00,587.84
2019-01-07 07:30:00,549.88
2019-01-07 08:00:00,570.88
2019-01-07 08:30:00,629.12
2019-01-07 09:00:00,652.86
2019-01-07 09:30:00,616.76
2019-01-07 10:00:00,631.42
2019-01-07 10:30:00,639.04
2019-01-07 11:00:00,618.76
2019-01-07 11:30:00,617.16
2019-01-07 12:00:00,602.5
2019-01-07 12:30:00,625.08
2019-01-07 13:00:00,653.24
2019-01-07 13:30:00,659.64
2019-01-07 14:00:00,645.12
2019-01-07 14:30:00,670.34
2019-01-07 15:00:00,646.02
2019-01-07 15:30:00,624.9
2019-01-07 16:00:00,611.84
2019-01-07 16:30:00,568.7
2019-01-07 17:00:00,544.12
2019-01-07 17:30:00,552.32
2019-01-07 18:00:00,552.0
2019-01-07 18:30:00,481.72
2019-01-07 19:00:00,471.74
2019-01-07 19:30:00,492.86
2019-01-07 20:00:00,484.16
2019-01-07 20:30:00,505.86
2019-01-07 21:00:00,498.56
2019-01-07 21:30:00,479.42
2019-01-07 22:00:00,452.92
2019-01-07 22:30:00,439.24
2019-01-07 23:00:00,437.88
2019-01-07 23:30:00,433.8
2019-01-08 00:00:00,405.44
2019-01-08 00:30:00,444.68
2019-01-08 01:00:00,420.6
2019-01-08 01:30:00,454.52
2019-01-08 02:00:00,474.18
2019-01-08 02:30:00,435.08
2019-01-08 03:00:00,452.68
2019-01-08 03:30:00,424.7
2019-01-08 04:00:00,460.8
2019-01-08 04:30:00,495.04
2019-01-08 05:00:00,527.8
2019-01-08 05:30:00,536.2
2019-01-08 06:00:00,617.48
2019-01-08 06:30:00,572.92
2019-01-08 07:00:00,587.58
2019-01-08 07:30:00,581.76
2019-01-08 08:00:00,607.56
2019-01-08 08:30:00,625.98
2019-01-08 09:00:00,634.68
2019-01-08 09:30:00,617.02
2019-01-08 10:00:00,611.9
2019-01-08 10:30:00,601.72
2019-01-08 11:00:00,641.48
2019-01-08 11:30:00,617.22
2019-01-08 12:00:00,618.76
2019-01-08 12:30:00,656.26
2019-01-08 13:00:00,618.18
2019-01-08 13:30:00,644.04
2019-01-08 14:00:00,651.64
2019-01-08 14:30:00,676.36
2019-01-08 15:00:00,604.92
2019-01-08 15:30:00,611.9
2019-01-08 16:00:00,598.28
2019-01-08 16:30:00,589.7
2019-01-08 17:00:00,555.4
2019-01-08 17:30:00,561.66
2019-01-08 18:00:00,559.42
2019-01-08 18:30:00,512.12
2019-01-08 19:00:00,506.62
