TS,Load
2019-01-01 23:30:00,305.38
2019-01-02 00:00:00,297.56
2019-01-02 00:30:00,210.0
2019-01-02 01:00:00,282.84
2019-01-02 01:30:00,206.04
2019-01-02 02:00:00,281.82
2019-01-02 02:30:00,203.64
2019-01-02 03:00:00,274.76
2019-01-02 03:30:00,195.96
2019-01-02 04:00:00,272.02
2019-01-02 04:30:00,276.24
2019-01-02 05:00:00,282.74
2019-01-02 05:30:00,281.9
2019-01-02 06:00:00,279.64
2019-01-02 06:30:00,274.36
2019-01-02 07:00:00,279.26
2019-01-02 07:30:00,302.54
2019-01-02 08:00:00,365.22
2019-01-02 08:30:00,393.86
2019-01-02 09:00:00,397.68
2019-01-02 09:30:00,404.82
2019-01-02 10:00:00,421.48
2019-01-02 10:30:00,475.48
2019-01-02 11:00:00,475.02
2019-01-02 11:30:00,477.58
2019-01-02 12:00:00,461.06
2019-01-02 12:30:00,480.0
2019-01-02 13:00:00,475.08
2019-01-02 13:30:00,475.96
2019-01-02 14:00:00,429.68
2019-01-02 14:30:00,410.84
2019-01-02 15:00:00,403.96
2019-01-02 15:30:00,381.24
2019-01-02 16:00:00,375.32
2019-01-02 16:30:00,361.22
2019-01-02 17:00:00,346.46
2019-01-02 17:30:00,348.12
2019-01-02 18:00:00,353.82
2019-01-02 18:30:00,350.24
2019-01-02 19:00:00,347.48
2019-01-02 19:30:00,375.06
2019-01-02 20:00:00,384.0
2019-01-02 20:30:00,384.0
2019-01-02 21:00:00,400.92
2019-01-02 21:30:00,384.72
2019-01-02 22:00:00,354.26
2019-01-02 22:30:00,348.56
2019-01-02 23:00:00,345.2
2019-01-02 23:30:00,334.46
2019-01-03 00:00:00,331.42
2019-01-03 00:30:00,244.44
2019-01-03 01:00:00,313.32
2019-01-03 01:30:00,240.02
2019-01-03 02:00:00,316.82
2019-01-03 02:30:00,234.26
2019-01-03 03:00:00,306.3
2019-01-03 03:30:00,226.94
2019-01-03 04:00:00,306.22
2019-01-03 04:30:00,308.54
2019-01-03 05:00:00,316.36
2019-01-03 05:30:00,311.74
2019-01-03 06:00:00,312.12
2019-01-03 06:30:00,299.84
2019-01-03 07:00:00,301.22
2019-01-03 07:30:00,302.78
2019-01-03 08:00:00,307.96
2019-01-03 08:30:00,332.14
2019-01-03 09:00:00,341.86
2019-01-03 09:30:00,353.96
2019-01-03 10:00:00,354.76
2019-01-03 10:30:00,421.24
2019-01-03 11:00:00,424.92
2019-01-03 11:30:00,429.24
2019-01-03 12:00:00,432.94
2019-01-03 12:30:00,439.74
2019-01-03 13:00:00,439.24
2019-01-03 13:30:00,445.68
2019-01-03 14:00:00,449.86
2019-01-03 14:30:00,422.56
2019-01-03 15:00:00,374.56
2019-01-03 15:30:00,383.52
2019-01-03 16:00:00,377.1
2019-01-03 16:30:00,368.3
2019-01-03 17:00:00,354.54
2019-01-03 17:30:00,357.04
2019-01-03 18:00:00,352.72
2019-01-03 18:30:00,352.12
2019-01-03 19:00:00,355.68
2019-01-03 19:30:00,369.46
2019-01-03 20:00:00,363.56
2019-01-03 20:30:00,362.16
2019-01-03 21:00:00,363.44
2019-01-03 21:30:00,355.18
2019-01-03 22:00:00,340.82
2019-01-03 22:30:00,345.16
2019-01-03 23:00:00,341.22
2019-01-03 23:30:00,332.7
2019-01-04 00:00:00,320.76
2019-01-04 00:30:00,241.6
2019-01-04 01:00:00,313.24
2019-01-04 01:30:00,241.62
2019-01-04 02:00:00,309.58
2019-01-04 02:30:00,236.14
2019-01-04 03:00:00,305.92
2019-01-04 03:30:00,228.46
2019-01-04 04:00:00,304.3
2019-01-04 04:30:00,308.08
2019-01-04 05:00:00,317.16
2019-01-04 05:30:00,316.82
2019-01-04 06:00:00,318.84
2019-01-04 06:30:00,319.3
2019-01-04 07:00:00,359.28
2019-01-04 07:30:00,393.08
2019-01-04 08:00:00,435.28
2019-01-04 08:30:00,473.36
2019-01-04 09:00:00,544.24
2019-01-04 09:30:00,588.52
2019-01-04 10:00:00,633.34
2019-01-04 10:30:00,619.76
2019-01-04 11:00:00,612.6
2019-01-04 11:30:00,603.2
2019-01-04 12:00:00,583.02
2019-01-04 12:30:00,511.66
2019-01-04 13:00:00,498.94
2019-01-04 13:30:00,494.6
2019-01-04 14:00:00,473.68
2019-01-04 14:30:00,476.42
2019-01-04 15:00:00,465.32
2019-01-04 15:30:00,455.52
2019-01-04 16:00:00,449.08
2019-01-04 16:30:00,447.8
2019-01-04 17:00:00,449.9
2019-01-04 17:30:00,458.86
2019-01-04 18:00:00,455.42
2019-01-04 18:30:00,453.26
2019-01-04 19:00:00,453.48
2019-01-04 19:30:00,459.58
2019-01-04 20:00:00,469.68
2019-01-04 20:30:00,475.26
2019-01-04 21:00:00,477.1
2019-01-04 21:30:00,460.42
2019-01-04 22:00:00,453.26
2019-01-04 22:30:00,456.92
2019-01-04 23:00:00,451.9
2019-01-04 23:30:00,386.42
2019-01-05 00:00:00,355.34
2019-01-05 00:30:00,252.76
2019-01-05 01:00:00,326.42
2019-01-05 01:30:00,250.58
2019-01-05 02:00:00,321.5
2019-01-05 02:30:00,246.56
2019-01-05 03:00:00,321.32
2019-01-05 03:30:00,235.58
2019-01-05 04:00:00,316.2
2019-01-05 04:30:00,321.22
2019-01-05 05:00:00,321.7
2019-01-05 05:30:00,319.24
2019-01-05 06:00:00,321.08
2019-01-05 06:30:00,330.54
2019-01-05 07:00:00,348.32
2019-01-05 07:30:00,337.08
2019-01-05 08:00:00,311.08
2019-01-05 08:30:00,334.42
2019-01-05 09:00:00,396.98
2019-01-05 09:30:00,425.48
2019-01-05 10:00:00,437.4
2019-01-05 10:30:00,434.52
2019-01-05 11:00:00,440.32
2019-01-05 11:30:00,447.68
2019-01-05 12:00:00,450.96
2019-01-05 12:30:00,454.52
2019-01-05 13:00:00,450.78
2019-01-05 13:30:00,441.6
2019-01-05 14:00:00,428.76
2019-01-05 14:30:00,430.52
2019-01-05 15:00:00,439.32
2019-01-05 15:30:00,436.3
2019-01-05 16:00:00,415.4
2019-01-05 16:30:00,349.76
2019-01-05 17:00:00,368.1
2019-01-05 17:30:00,380.36
2019-01-05 18:00:00,387.28
2019-01-05 18:30:00,386.48
2019-01-05 19:00:00,416.46
2019-01-05 19:30:00,429.72
2019-01-05 20:00:00,439.84
2019-01-05 20:30:00,449.24
2019-01-05 21:00:00,446.18
2019-01-05 21:30:00,441.12
2019-01-05 22:00:00,439.4
2019-01-05 22:30:00,431.62
2019-01-05 23:00:00,404.9
2019-01-05 23:30:00,347.24
2019-01-06 00:00:00,340.18
2019-01-06 00:30:00,244.52
2019-01-06 01:00:00,313.38
2019-01-06 01:30:00,241.94
2019-01-06 02:00:00,315.56
2019-01-06 02:30:00,239.54
2019-01-06 03:00:00,304.78
2019-01-06 03:30:00,229.84
2019-01-06 04:00:00,303.68
2019-01-06 04:30:00,305.9
2019-01-06 05:00:00,308.88
2019-01-06 05:30:00,310.76
2019-01-06 06:00:00,309.74
2019-01-06 06:30:00,309.62
2019-01-06 07:00:00,308.34
2019-01-06 07:30:00,325.38
2019-01-06 08:00:00,325.26
2019-01-06 08:30:00,360.06
2019-01-06 09:00:00,390.84
2019-01-06 09:30:00,441.44
2019-01-06 10:00:00,428.98
2019-01-06 10:30:00,435.28
2019-01-06 11:00:00,443.12
2019-01-06 11:30:00,438.16
2019-01-06 12:00:00,440.74
2019-01-06 12:30:00,419.12
2019-01-06 13:00:00,427.3
2019-01-06 13:30:00,429.4
2019-01-06 14:00:00,435.26
2019-01-06 14:30:00,467.68
2019-01-06 15:00:00,452.12
2019-01-06 15:30:00,390.3
2019-01-06 16:00:00,380.1
2019-01-06 16:30:00,355.66
2019-01-06 17:00:00,353.52
2019-01-06 17:30:00,345.56
2019-01-06 18:00:00,348.92
2019-01-06 18:30:00,362.28
2019-01-06 19:00:00,394.36
2019-01-06 19:30:00,401.84
2019-01-06 20:00:00,433.62
2019-01-06 20:30:00,440.1
2019-01-06 21:00:00,445.42
2019-01-06 21:30:00,433.24
2019-01-06 22:00:00,432.28
2019-01-06 22:30:00,428.18
2019-01-06 23:00:00,424.88
2019-01-06 23:30:00,350.44
2019-01-07 00:00:00,341.56
2019-01-07 00:30:00,246.7
2019-01-07 01:00:00,317.1
2019-01-07 01:30:00,246.42
2019-01-07 02:00:00,309.74
2019-01-07 02:30:00,247.4
2019-01-07 03:00:00,309.26
