TS,Load
2019-01-01 23:30:00,805.92
2019-01-02 00:00:00,807.12
2019-01-02 00:30:00,824.92
2019-01-02 01:00:00,812.02
2019-01-02 01:30:00,782.16
2019-01-02 02:00:00,788.56
2019-01-02 02:30:00,810.28
2019-01-02 03:00:00,808.3
2019-01-02 03:30:00,801.98
2019-01-02 04:00:00,792.0
2019-01-02 04:30:00,782.18
2019-01-02 05:00:00,778.16
2019-01-02 05:30:00,785.08
2019-01-02 06:00:00,786.32
2019-01-02 06:30:00,857.46
2019-01-02 07:00:00,898.9
2019-01-02 07:30:00,924.0
2019-01-02 08:00:00,916.34
2019-01-02 08:30:00,923.6
2019-01-02 09:00:00,915.78
2019-01-02 09:30:00,909.04
2019-01-02 10:00:00,916.06
2019-01-02 10:30:00,926.7
2019-01-02 11:00:00,956.18
2019-01-02 11:30:00,967.46
2019-01-02 12:00:00,976.96
2019-01-02 12:30:00,1009.02
2019-01-02 13:00:00,996.9
2019-01-02 13:30:00,1013.5
2019-01-02 14:00:00,1026.48
2019-01-02 14:30:00,1023.46
2019-01-02 15:00:00,1007.88
2019-01-02 15:30:00,1003.58
2019-01-02 16:00:00,997.38
2019-01-02 16:30:00,984.22
2019-01-02 17:00:00,930.86
2019-01-02 17:30:00,923.76
2019-01-02 18:00:00,882.78
2019-01-02 18:30:00,827.32
2019-01-02 19:00:00,823.6
2019-01-02 19:30:00,804.84
2019-01-02 20:00:00,811.2
2019-01-02 20:30:00,832.5
2019-01-02 21:00:00,836.28
2019-01-02 21:30:00,808.12
2019-01-02 22:00:00,819.94
2019-01-02 22:30:00,804.44
2019-01-02 23:00:00,790.06
2019-01-02 23:30:00,796.62
2019-01-03 00:00:00,785.66
2019-01-03 00:30:00,784.14
2019-01-03 01:00:00,773.96
2019-01-03 01:30:00,781.88
2019-01-03 02:00:00,763.82
2019-01-03 02:30:00,762.56
2019-01-03 03:00:00,758.2
2019-01-03 03:30:00,768.76
2019-01-03 04:00:00,771.16
2019-01-03 04:30:00,762.54
2019-01-03 05:00:00,788.88
2019-01-03 05:30:00,787.04
2019-01-03 06:00:00,787.36
2019-01-03 06:30:00,832.52
2019-01-03 07:00:00,845.46
2019-01-03 07:30:00,819.2
2019-01-03 08:00:00,830.36
2019-01-03 08:30:00,851.36
2019-01-03 09:00:00,874.38
2019-01-03 09:30:00,855.32
2019-01-03 10:00:00,848.48
2019-01-03 10:30:00,848.56
2019-01-03 11:00:00,859.88
2019-01-03 11:30:00,867.16
2019-01-03 12:00:00,845.54
2019-01-03 12:30:00,858.18
2019-01-03 13:00:00,847.8
2019-01-03 13:30:00,828.5
2019-01-03 14:00:00,834.52
2019-01-03 14:30:00,846.04
2019-01-03 15:00:00,853.5
2019-01-03 15:30:00,858.54
2019-01-03 16:00:00,853.38
2019-01-03 16:30:00,843.5
2019-01-03 17:00:00,845.02
2019-01-03 17:30:00,843.1
2019-01-03 18:00:00,835.04
2019-01-03 18:30:00,799.9
2019-01-03 19:00:00,783.8
2019-01-03 19:30:00,772.28
2019-01-03 20:00:00,755.46
2019-01-03 20:30:00,777.5
2019-01-03 21:00:00,695.84
2019-01-03 21:30:00,745.24
2019-01-03 22:00:00,754.78
2019-01-03 22:30:00,743.02
2019-01-03 23:00:00,752.96
2019-01-03 23:30:00,759.62
2019-01-04 00:00:00,742.72
2019-01-04 00:30:00,738.32
2019-01-04 01:00:00,736.22
2019-01-04 01:30:00,736.1
2019-01-04 02:00:00,736.2
2019-01-04 02:30:00,739.02
2019-01-04 03:00:00,749.08
2019-01-04 03:30:00,770.4
2019-01-04 04:00:00,769.02
2019-01-04 04:30:00,768.66
2019-01-04 05:00:00,750.56
2019-01-04 05:30:00,734.42
2019-01-04 06:00:00,728.88
