TS,Load
2019-01-01 23:30:00,753.18
2019-01-02 00:00:00,746.92
2019-01-02 00:30:00,738.02
2019-01-02 01:00:00,701.86
2019-01-02 01:30:00,658.06
2019-01-02 02:00:00,663.94
2019-01-02 02:30:00,632.02
2019-01-02 03:00:00,692.62
2019-01-02 03:30:00,695.48
2019-01-02 04:00:00,705.14
2019-01-02 04:30:00,694.04
2019-01-02 05:00:00,704.08
2019-01-02 05:30:00,671.92
2019-01-02 06:00:00,623.66
2019-01-02 06:30:00,630.32
2019-01-02 07:00:00,660.0
2019-01-02 07:30:00,658.28
2019-01-02 08:00:00,700.82
2019-01-02 08:30:00,704.48
2019-01-02 09:00:00,717.18
2019-01-02 09:30:00,725.84
2019-01-02 10:00:00,732.54
2019-01-02 10:30:00,714.3
2019-01-02 11:00:00,751.64
2019-01-02 11:30:00,763.48
2019-01-02 12:00:00,772.96
2019-01-02 12:30:00,833.18
2019-01-02 13:00:00,826.56
2019-01-02 13:30:00,814.64
2019-01-02 14:00:00,798.44
2019-01-02 14:30:00,774.88
2019-01-02 15:00:00,749.0
2019-01-02 15:30:00,732.22
2019-01-02 16:00:00,721.98
2019-01-02 16:30:00,712.26
2019-01-02 17:00:00,749.44
2019-01-02 17:30:00,752.4
2019-01-02 18:00:00,767.06
2019-01-02 18:30:00,726.06
2019-01-02 19:00:00,737.04
2019-01-02 19:30:00,719.26
2019-01-02 20:00:00,735.16
2019-01-02 20:30:00,748.18
2019-01-02 21:00:00,761.6
2019-01-02 21:30:00,810.12
2019-01-02 22:00:00,809.92
2019-01-02 22:30:00,779.28
2019-01-02 23:00:00,755.72
2019-01-02 23:30:00,735.32
2019-01-03 00:00:00,695.94
2019-01-03 00:30:00,688.62
2019-01-03 01:00:00,670.6
2019-01-03 01:30:00,671.28
2019-01-03 02:00:00,690.28
2019-01-03 02:30:00,709.72
2019-01-03 03:00:00,721.84
2019-01-03 03:30:00,699.56
2019-01-03 04:00:00,672.14
2019-01-03 04:30:00,673.54
2019-01-03 05:00:00,630.0
2019-01-03 05:30:00,635.14
2019-01-03 06:00:00,641.24
2019-01-03 06:30:00,659.22
2019-01-03 07:00:00,713.58
2019-01-03 07:30:00,706.46
2019-01-03 08:00:00,675.94
2019-01-03 08:30:00,677.68
2019-01-03 09:00:00,667.16
2019-01-03 09:30:00,676.16
2019-01-03 10:00:00,693.3
2019-01-03 10:30:00,703.7
2019-01-03 11:00:00,768.48
2019-01-03 11:30:00,799.98
2019-01-03 12:00:00,810.86
2019-01-03 12:30:00,803.0
2019-01-03 13:00:00,812.92
2019-01-03 13:30:00,807.34
2019-01-03 14:00:00,797.32
2019-01-03 14:30:00,788.08
2019-01-03 15:00:00,793.06
2019-01-03 15:30:00,814.52
2019-01-03 16:00:00,817.14
2019-01-03 16:30:00,806.52
2019-01-03 17:00:00,758.68
2019-01-03 17:30:00,762.36
2019-01-03 18:00:00,738.04
2019-01-03 18:30:00,739.74
2019-01-03 19:00:00,780.18
2019-01-03 19:30:00,800.36
2019-01-03 20:00:00,855.36
2019-01-03 20:30:00,923.38
2019-01-03 21:00:00,959.1
2019-01-03 21:30:00,947.52
2019-01-03 22:00:00,955.3
2019-01-03 22:30:00,976.6
2019-01-03 23:00:00,1007.3
2019-01-03 23:30:00,988.24
2019-01-04 00:00:00,961.34
2019-01-04 00:30:00,1042.82
2019-01-04 01:00:00,1086.96
2019-01-04 01:30:00,1096.72
2019-01-04 02:00:00,1077.52
2019-01-04 02:30:00,1026.34
2019-01-04 03:00:00,952.32
2019-01-04 03:30:00,893.3
2019-01-04 04:00:00,869.78
2019-01-04 04:30:00,840.24
2019-01-04 05:00:00,795.96
2019-01-04 05:30:00,803.66
2019-01-04 06:00:00,724.44
