TS,Load
2019-01-01 23:30:00,478.56
2019-01-02 00:00:00,477.17
2019-01-02 00:30:00,537.92
2019-01-02 01:00:00,537.682
2019-01-02 01:30:00,529.628
2019-01-02 02:00:00,512.214
2019-01-02 02:30:00,507.254
2019-01-02 03:00:00,492.358
2019-01-02 03:30:00,480.286
2019-01-02 04:00:00,476.95
2019-01-02 04:30:00,470.062
2019-01-02 05:00:00,480.524
2019-01-02 05:30:00,476.95
2019-01-02 06:00:00,498.046
2019-01-02 06:30:00,509.75
2019-01-02 07:00:00,513.842
2019-01-02 07:30:00,533.488
2019-01-02 08:00:00,544.964
2019-01-02 08:30:00,546.968
2019-01-02 09:00:00,540.144
2019-01-02 09:30:00,546.13
2019-01-02 10:00:00,541.86
2019-01-02 10:30:00,553.73
2019-01-02 11:00:00,540.186
2019-01-02 11:30:00,535.592
2019-01-02 12:00:00,524.46
2019-01-02 12:30:00,513.816
2019-01-02 13:00:00,508.258
2019-01-02 13:30:00,521.368
2019-01-02 14:00:00,517.792
2019-01-02 14:30:00,524.024
2019-01-02 15:00:00,526.668
2019-01-02 15:30:00,532.906
2019-01-02 16:00:00,551.022
2019-01-02 16:30:00,544.63
2019-01-02 17:00:00,553.6
2019-01-02 17:30:00,501.898
2019-01-02 18:00:00,480.07
2019-01-02 18:30:00,470.264
2019-01-02 19:00:00,477.088
2019-01-02 19:30:00,471.426
2019-01-02 20:00:00,474.62
2019-01-02 20:30:00,469.12
2019-01-02 21:00:00,463.484
2019-01-02 21:30:00,471.016
2019-01-02 22:00:00,465.668
2019-01-02 22:30:00,472.09
2019-01-02 23:00:00,461.28
2019-01-02 23:30:00,470.654
2019-01-03 00:00:00,463.528
2019-01-03 00:30:00,507.742
2019-01-03 01:00:00,545.71
2019-01-03 01:30:00,564.37
2019-01-03 02:00:00,567.334
2019-01-03 02:30:00,565.34
2019-01-03 03:00:00,566.036
2019-01-03 03:30:00,553.878
2019-01-03 04:00:00,558.272
2019-01-03 04:30:00,549.566
2019-01-03 05:00:00,551.076
2019-01-03 05:30:00,531.762
2019-01-03 06:00:00,538.508
2019-01-03 06:30:00,529.444
2019-01-03 07:00:00,534.78
2019-01-03 07:30:00,523.564
2019-01-03 08:00:00,528.084
2019-01-03 08:30:00,540.364
2019-01-03 09:00:00,545.43
2019-01-03 09:30:00,550.636
2019-01-03 10:00:00,548.166
2019-01-03 10:30:00,555.546
2019-01-03 11:00:00,546.002
2019-01-03 11:30:00,552.566
2019-01-03 12:00:00,543.486
2019-01-03 12:30:00,540.252
2019-01-03 13:00:00,518.544
2019-01-03 13:30:00,515.616
2019-01-03 14:00:00,515.218
2019-01-03 14:30:00,516.904
2019-01-03 15:00:00,518.19
2019-01-03 15:30:00,516.116
2019-01-03 16:00:00,518.868
2019-01-03 16:30:00,515.266
2019-01-03 17:00:00,522.224
2019-01-03 17:30:00,514.462
2019-01-03 18:00:00,528.32
2019-01-03 18:30:00,514.744
2019-01-03 19:00:00,527.456
2019-01-03 19:30:00,523.73
2019-01-03 20:00:00,522.494
2019-01-03 20:30:00,526.164
2019-01-03 21:00:00,527.004
2019-01-03 21:30:00,528.934
2019-01-03 22:00:00,526.5
2019-01-03 22:30:00,532.198
2019-01-03 23:00:00,520.506
2019-01-03 23:30:00,535.576
2019-01-04 00:00:00,523.36
2019-01-04 00:30:00,533.906
2019-01-04 01:00:00,524.106
2019-01-04 01:30:00,526.202
2019-01-04 02:00:00,531.198
2019-01-04 02:30:00,526.866
2019-01-04 03:00:00,534.322
2019-01-04 03:30:00,527.084
2019-01-04 04:00:00,531.668
2019-01-04 04:30:00,524.682
2019-01-04 05:00:00,536.048
2019-01-04 05:30:00,525.716
2019-01-04 06:00:00,538.396
2019-01-04 06:30:00,523.628
2019-01-04 07:00:00,529.95
2019-01-04 07:30:00,532.388
2019-01-04 08:00:00,524.93
2019-01-04 08:30:00,532.91
2019-01-04 09:00:00,526.074
2019-01-04 09:30:00,532.536
2019-01-04 10:00:00,526.832
2019-01-04 10:30:00,534.794
2019-01-04 11:00:00,525.474
2019-01-04 11:30:00,533.66
2019-01-04 12:00:00,524.626
2019-01-04 12:30:00,532.73
2019-01-04 13:00:00,529.94
2019-01-04 13:30:00,523.338
2019-01-04 14:00:00,534.502
2019-01-04 14:30:00,523.114
2019-01-04 15:00:00,533.286
2019-01-04 15:30:00,526.504
2019-01-04 16:00:00,530.694
2019-01-04 16:30:00,524.142
