TS,Load
2019-01-01 23:30:00,104.78
2019-01-02 00:00:00,98.2
2019-01-02 00:30:00,99.24
2019-01-02 01:00:00,100.08
2019-01-02 01:30:00,101.16
2019-01-02 02:00:00,101.52
2019-01-02 02:30:00,98.86
2019-01-02 03:00:00,101.9
2019-01-02 03:30:00,152.32
2019-01-02 04:00:00,153.66
2019-01-02 04:30:00,104.78
2019-01-02 05:00:00,104.76
2019-01-02 05:30:00,104.18
2019-01-02 06:00:00,98.96
2019-01-02 06:30:00,96.02
2019-01-02 07:00:00,129.42
2019-01-02 07:30:00,221.72
2019-01-02 08:00:00,235.12
2019-01-02 08:30:00,318.18
2019-01-02 09:00:00,459.58
2019-01-02 09:30:00,471.14
2019-01-02 10:00:00,474.6
2019-01-02 10:30:00,503.2
2019-01-02 11:00:00,583.74
2019-01-02 11:30:00,585.46
2019-01-02 12:00:00,570.98
2019-01-02 12:30:00,474.82
2019-01-02 13:00:00,455.4
2019-01-02 13:30:00,456.54
2019-01-02 14:00:00,456.92
2019-01-02 14:30:00,443.32
2019-01-02 15:00:00,429.78
2019-01-02 15:30:00,353.18
2019-01-02 16:00:00,258.98
2019-01-02 16:30:00,237.62
2019-01-02 17:00:00,195.1
2019-01-02 17:30:00,164.56
2019-01-02 18:00:00,113.96
2019-01-02 18:30:00,113.02
2019-01-02 19:00:00,113.64
2019-01-02 19:30:00,108.86
2019-01-02 20:00:00,102.92
2019-01-02 20:30:00,99.46
2019-01-02 21:00:00,102.2
2019-01-02 21:30:00,101.0
2019-01-02 22:00:00,102.3
2019-01-02 22:30:00,98.6
2019-01-02 23:00:00,102.42
2019-01-02 23:30:00,113.26
2019-01-03 00:00:00,100.9
2019-01-03 00:30:00,102.24
2019-01-03 01:00:00,98.94
2019-01-03 01:30:00,103.16
2019-01-03 02:00:00,103.48
2019-01-03 02:30:00,99.96
2019-01-03 03:00:00,104.34
2019-01-03 03:30:00,104.16
2019-01-03 04:00:00,107.34
2019-01-03 04:30:00,102.74
2019-01-03 05:00:00,103.22
2019-01-03 05:30:00,106.96
2019-01-03 06:00:00,100.66
2019-01-03 06:30:00,98.22
2019-01-03 07:00:00,99.66
2019-01-03 07:30:00,101.5
2019-01-03 08:00:00,96.4
2019-01-03 08:30:00,96.88
2019-01-03 09:00:00,108.88
2019-01-03 09:30:00,108.28
2019-01-03 10:00:00,99.08
2019-01-03 10:30:00,98.22
2019-01-03 11:00:00,97.84
2019-01-03 11:30:00,101.42
2019-01-03 12:00:00,99.26
2019-01-03 12:30:00,98.68
2019-01-03 13:00:00,100.58
2019-01-03 13:30:00,108.78
2019-01-03 14:00:00,104.24
2019-01-03 14:30:00,98.14
2019-01-03 15:00:00,95.62
2019-01-03 15:30:00,104.06
2019-01-03 16:00:00,98.3
2019-01-03 16:30:00,100.78
2019-01-03 17:00:00,96.6
2019-01-03 17:30:00,100.26
2019-01-03 18:00:00,98.38
2019-01-03 18:30:00,95.4
2019-01-03 19:00:00,98.38
2019-01-03 19:30:00,105.08
2019-01-03 20:00:00,105.42
2019-01-03 20:30:00,101.82
2019-01-03 21:00:00,102.08
2019-01-03 21:30:00,104.02
2019-01-03 22:00:00,102.24
2019-01-03 22:30:00,101.22
2019-01-03 23:00:00,110.94
2019-01-03 23:30:00,103.54
2019-01-04 00:00:00,102.06
2019-01-04 00:30:00,99.48
2019-01-04 01:00:00,103.0
2019-01-04 01:30:00,99.02
2019-01-04 02:00:00,102.56
2019-01-04 02:30:00,98.64
2019-01-04 03:00:00,101.42
2019-01-04 03:30:00,112.76
2019-01-04 04:00:00,105.6
2019-01-04 04:30:00,99.88
2019-01-04 05:00:00,101.04
2019-01-04 05:30:00,101.04
2019-01-04 06:00:00,99.26
2019-01-04 06:30:00,94.86
2019-01-04 07:00:00,93.98
2019-01-04 07:30:00,95.62
2019-01-04 08:00:00,93.54
2019-01-04 08:30:00,94.02
2019-01-04 09:00:00,93.5
2019-01-04 09:30:00,99.24
2019-01-04 10:00:00,109.2
2019-01-04 10:30:00,96.78
2019-01-04 11:00:00,94.0
2019-01-04 11:30:00,97.44
2019-01-04 12:00:00,97.1
2019-01-04 12:30:00,94.56
2019-01-04 13:00:00,96.42
2019-01-04 13:30:00,95.5
2019-01-04 14:00:00,96.34
2019-01-04 14:30:00,94.5
2019-01-04 15:00:00,97.24
2019-01-04 15:30:00,98.16
2019-01-04 16:00:00,112.68
2019-01-04 16:30:00,100.54
2019-01-04 17:00:00,95.24
