TS,Load
2019-01-01 23:30:00,391.4
2019-01-02 00:00:00,398.6
2019-01-02 00:30:00,392.2
2019-01-02 01:00:00,388.8
2019-01-02 01:30:00,397.6
2019-01-02 02:00:00,381.8
2019-01-02 02:30:00,382.6
2019-01-02 03:00:00,380.8
2019-01-02 03:30:00,379.4
2019-01-02 04:00:00,378.8
2019-01-02 04:30:00,381.8
2019-01-02 05:00:00,391.0
2019-01-02 05:30:00,403.4
2019-01-02 06:00:00,422.2
2019-01-02 06:30:00,464.2
2019-01-02 07:00:00,459.2
2019-01-02 07:30:00,461.2
2019-01-02 08:00:00,428.4
2019-01-02 08:30:00,418.6
2019-01-02 09:00:00,426.8
2019-01-02 09:30:00,410.2
2019-01-02 10:00:00,411.8
2019-01-02 10:30:00,420.0
2019-01-02 11:00:00,427.8
2019-01-02 11:30:00,414.4
2019-01-02 12:00:00,426.8
2019-01-02 12:30:00,430.0
2019-01-02 13:00:00,431.6
2019-01-02 13:30:00,431.8
2019-01-02 14:00:00,443.6
2019-01-02 14:30:00,434.2
2019-01-02 15:00:00,433.4
2019-01-02 15:30:00,437.0
2019-01-02 16:00:00,424.6
2019-01-02 16:30:00,430.4
2019-01-02 17:00:00,435.0
2019-01-02 17:30:00,411.4
2019-01-02 18:00:00,364.4
2019-01-02 18:30:00,354.6
2019-01-02 19:00:00,407.0
2019-01-02 19:30:00,429.8
2019-01-02 20:00:00,418.2
2019-01-02 20:30:00,400.4
2019-01-02 21:00:00,390.6
2019-01-02 21:30:00,392.0
2019-01-02 22:00:00,397.4
2019-01-02 22:30:00,393.8
2019-01-02 23:00:00,384.0
2019-01-02 23:30:00,389.8
2019-01-03 00:00:00,387.4
2019-01-03 00:30:00,385.6
2019-01-03 01:00:00,385.0
2019-01-03 01:30:00,389.6
2019-01-03 02:00:00,381.4
2019-01-03 02:30:00,380.8
2019-01-03 03:00:00,387.4
2019-01-03 03:30:00,380.8
2019-01-03 04:00:00,382.8
