TS,Load
2019-01-01 23:30:00,181.24
2019-01-02 00:00:00,237.24
2019-01-02 00:30:00,136.38
2019-01-02 01:00:00,117.0
2019-01-02 01:30:00,156.86
2019-01-02 02:00:00,236.42
2019-01-02 02:30:00,135.36
2019-01-02 03:00:00,122.88
2019-01-02 03:30:00,171.32
2019-01-02 04:00:00,236.86
2019-01-02 04:30:00,148.42
2019-01-02 05:00:00,157.32
2019-01-02 05:30:00,158.28
2019-01-02 06:00:00,131.52
2019-01-02 06:30:00,160.64
2019-01-02 07:00:00,142.14
2019-01-02 07:30:00,210.3
2019-01-02 08:00:00,246.08
2019-01-02 08:30:00,157.56
2019-01-02 09:00:00,144.64
2019-01-02 09:30:00,164.92
2019-01-02 10:00:00,249.54
2019-01-02 10:30:00,162.94
2019-01-02 11:00:00,130.56
2019-01-02 11:30:00,192.38
2019-01-02 12:00:00,246.72
2019-01-02 12:30:00,180.04
2019-01-02 13:00:00,141.96
2019-01-02 13:30:00,187.14
2019-01-02 14:00:00,242.94
2019-01-02 14:30:00,197.44
2019-01-02 15:00:00,138.82
2019-01-02 15:30:00,187.32
2019-01-02 16:00:00,235.72
2019-01-02 16:30:00,200.96
2019-01-02 17:00:00,126.78
2019-01-02 17:30:00,180.48
2019-01-02 18:00:00,126.66
2019-01-02 18:30:00,187.9
2019-01-02 19:00:00,126.4
2019-01-02 19:30:00,157.88
2019-01-02 20:00:00,232.32
2019-01-02 20:30:00,126.6
2019-01-02 21:00:00,145.28
2019-01-02 21:30:00,147.2
2019-01-02 22:00:00,227.0
2019-01-02 22:30:00,139.58
2019-01-02 23:00:00,117.44
2019-01-02 23:30:00,182.08
2019-01-03 00:00:00,236.6
2019-01-03 00:30:00,137.02
2019-01-03 01:00:00,128.52
2019-01-03 01:30:00,170.18
2019-01-03 02:00:00,242.18
2019-01-03 02:30:00,128.32
2019-01-03 03:00:00,146.68
2019-01-03 03:30:00,152.38
2019-01-03 04:00:00,241.22
2019-01-03 04:30:00,144.44
2019-01-03 05:00:00,163.72
2019-01-03 05:30:00,151.88
2019-01-03 06:00:00,138.18
2019-01-03 06:30:00,185.98
2019-01-03 07:00:00,133.88
2019-01-03 07:30:00,177.98
2019-01-03 08:00:00,244.6
2019-01-03 08:30:00,139.78
2019-01-03 09:00:00,131.46
2019-01-03 09:30:00,152.64
2019-01-03 10:00:00,234.3
2019-01-03 10:30:00,151.04
2019-01-03 11:00:00,118.02
2019-01-03 11:30:00,182.34
2019-01-03 12:00:00,238.52
2019-01-03 12:30:00,154.24
2019-01-03 13:00:00,125.38
2019-01-03 13:30:00,182.92
2019-01-03 14:00:00,229.38
2019-01-03 14:30:00,170.94
2019-01-03 15:00:00,129.08
2019-01-03 15:30:00,162.88
2019-01-03 16:00:00,233.4
2019-01-03 16:30:00,187.14
2019-01-03 17:00:00,147.46
2019-01-03 17:30:00,142.84
2019-01-03 18:00:00,137.34
2019-01-03 18:30:00,199.16
2019-01-03 19:00:00,125.76
2019-01-03 19:30:00,181.7
2019-01-03 20:00:00,244.28
2019-01-03 20:30:00,150.46
2019-01-03 21:00:00,145.6
2019-01-03 21:30:00,163.9
2019-01-03 22:00:00,231.3
2019-01-03 22:30:00,149.96
2019-01-03 23:00:00,111.42
2019-01-03 23:30:00,176.06
2019-01-04 00:00:00,233.54
2019-01-04 00:30:00,150.6
2019-01-04 01:00:00,121.66
2019-01-04 01:30:00,178.3
2019-01-04 02:00:00,239.36
2019-01-04 02:30:00,128.7
2019-01-04 03:00:00,123.96
2019-01-04 03:30:00,155.72
2019-01-04 04:00:00,239.8
2019-01-04 04:30:00,151.74
2019-01-04 05:00:00,149.12
2019-01-04 05:30:00,183.24
2019-01-04 06:00:00,129.54
2019-01-04 06:30:00,236.04
2019-01-04 07:00:00,205.18
2019-01-04 07:30:00,272.76
2019-01-04 08:00:00,316.48
2019-01-04 08:30:00,217.72
2019-01-04 09:00:00,201.72
2019-01-04 09:30:00,225.28
2019-01-04 10:00:00,314.24
2019-01-04 10:30:00,229.7
2019-01-04 11:00:00,193.8
2019-01-04 11:30:00,268.04
2019-01-04 12:00:00,244.68
2019-01-04 12:30:00,141.82
2019-01-04 13:00:00,111.36
2019-01-04 13:30:00,150.02
2019-01-04 14:00:00,145.4
2019-01-04 14:30:00,196.48
2019-01-04 15:00:00,112.26
2019-01-04 15:30:00,156.54
2019-01-04 16:00:00,228.16
2019-01-04 16:30:00,169.6
2019-01-04 17:00:00,136.44
2019-01-04 17:30:00,160.64
2019-01-04 18:00:00,144.44
