TS,Load
2019-01-01 23:30:00,173.6
2019-01-02 00:00:00,171.84
2019-01-02 00:30:00,172.98
2019-01-02 01:00:00,168.66
2019-01-02 01:30:00,169.86
2019-01-02 02:00:00,169.12
2019-01-02 02:30:00,163.76
2019-01-02 03:00:00,165.08
2019-01-02 03:30:00,161.02
2019-01-02 04:00:00,162.34
2019-01-02 04:30:00,164.08
2019-01-02 05:00:00,163.38
2019-01-02 05:30:00,162.32
2019-01-02 06:00:00,169.76
2019-01-02 06:30:00,184.08
2019-01-02 07:00:00,181.5
2019-01-02 07:30:00,179.4
2019-01-02 08:00:00,195.2
2019-01-02 08:30:00,199.94
2019-01-02 09:00:00,195.88
2019-01-02 09:30:00,190.84
2019-01-02 10:00:00,193.2
2019-01-02 10:30:00,204.22
2019-01-02 11:00:00,208.28
2019-01-02 11:30:00,217.8
2019-01-02 12:00:00,217.86
2019-01-02 12:30:00,216.06
2019-01-02 13:00:00,218.06
2019-01-02 13:30:00,210.96
2019-01-02 14:00:00,216.96
2019-01-02 14:30:00,212.8
2019-01-02 15:00:00,201.42
2019-01-02 15:30:00,205.28
2019-01-02 16:00:00,204.76
2019-01-02 16:30:00,204.12
2019-01-02 17:00:00,200.0
2019-01-02 17:30:00,195.8
2019-01-02 18:00:00,194.82
2019-01-02 18:30:00,192.4
2019-01-02 19:00:00,188.24
2019-01-02 19:30:00,184.76
2019-01-02 20:00:00,179.84
2019-01-02 20:30:00,184.26
2019-01-02 21:00:00,180.88
2019-01-02 21:30:00,175.48
2019-01-02 22:00:00,175.66
2019-01-02 22:30:00,173.74
2019-01-02 23:00:00,169.44
2019-01-02 23:30:00,169.1
2019-01-03 00:00:00,167.82
2019-01-03 00:30:00,167.26
2019-01-03 01:00:00,166.0
2019-01-03 01:30:00,167.74
2019-01-03 02:00:00,165.32
2019-01-03 02:30:00,163.6
2019-01-03 03:00:00,159.94
2019-01-03 03:30:00,162.3
2019-01-03 04:00:00,158.92
2019-01-03 04:30:00,157.1
2019-01-03 05:00:00,157.42
2019-01-03 05:30:00,160.28
2019-01-03 06:00:00,163.46
2019-01-03 06:30:00,175.28
2019-01-03 07:00:00,172.46
2019-01-03 07:30:00,167.84
2019-01-03 08:00:00,173.64
2019-01-03 08:30:00,179.56
2019-01-03 09:00:00,187.64
2019-01-03 09:30:00,186.46
