TS,Load
2019-01-01 23:30:00,1829.52
2019-01-02 00:00:00,1830.7
2019-01-02 00:30:00,1830.38
2019-01-02 01:00:00,1831.12
2019-01-02 01:30:00,1831.14
2019-01-02 02:00:00,1830.7
2019-01-02 02:30:00,1831.28
2019-01-02 03:00:00,1832.82
2019-01-02 03:30:00,1833.08
2019-01-02 04:00:00,1832.1
2019-01-02 04:30:00,1831.58
2019-01-02 05:00:00,1832.5
2019-01-02 05:30:00,1832.48
2019-01-02 06:00:00,1831.22
2019-01-02 06:30:00,1831.96
2019-01-02 07:00:00,1832.12
2019-01-02 07:30:00,1832.88
2019-01-02 08:00:00,1830.42
2019-01-02 08:30:00,1833.02
2019-01-02 09:00:00,1832.98
2019-01-02 09:30:00,1833.02
2019-01-02 10:00:00,1832.54
2019-01-02 10:30:00,1834.32
2019-01-02 11:00:00,1829.56
2019-01-02 11:30:00,1834.2
2019-01-02 12:00:00,1833.36
2019-01-02 12:30:00,59.06
2019-01-02 13:00:00,10.28
2019-01-02 13:30:00,10.32
2019-01-02 14:00:00,11.12
2019-01-02 14:30:00,11.38
2019-01-02 15:00:00,11.34
2019-01-02 15:30:00,11.06
2019-01-02 16:00:00,10.84
2019-01-02 16:30:00,10.8
2019-01-02 17:00:00,10.5
2019-01-02 17:30:00,10.28
2019-01-02 18:00:00,9.84
2019-01-02 18:30:00,9.62
2019-01-02 19:00:00,9.28
2019-01-02 19:30:00,10.08
2019-01-02 20:00:00,9.78
2019-01-02 20:30:00,8.96
2019-01-02 21:00:00,9.1
2019-01-02 21:30:00,9.02
2019-01-02 22:00:00,29.78
2019-01-02 22:30:00,1833.0
2019-01-02 23:00:00,1840.1
2019-01-02 23:30:00,1838.32
2019-01-03 00:00:00,1839.04
2019-01-03 00:30:00,1837.52
2019-01-03 01:00:00,1837.14
2019-01-03 01:30:00,1837.66
2019-01-03 02:00:00,1837.04
2019-01-03 02:30:00,1837.8
2019-01-03 03:00:00,1837.1
2019-01-03 03:30:00,1837.34
2019-01-03 04:00:00,1837.52
2019-01-03 04:30:00,1837.4
2019-01-03 05:00:00,1836.7
2019-01-03 05:30:00,1836.18
2019-01-03 06:00:00,1836.76
2019-01-03 06:30:00,1835.82
2019-01-03 07:00:00,1837.14
2019-01-03 07:30:00,1836.32
2019-01-03 08:00:00,1835.26
2019-01-03 08:30:00,1836.36
2019-01-03 09:00:00,1835.0
2019-01-03 09:30:00,1836.02
2019-01-03 10:00:00,1837.3
2019-01-03 10:30:00,1837.38
2019-01-03 11:00:00,1839.14
2019-01-03 11:30:00,1837.8
2019-01-03 12:00:00,1838.0
2019-01-03 12:30:00,1836.72
2019-01-03 13:00:00,1834.24
2019-01-03 13:30:00,1837.34
2019-01-03 14:00:00,1837.26
2019-01-03 14:30:00,1837.84
2019-01-03 15:00:00,1835.68
2019-01-03 15:30:00,1837.8
2019-01-03 16:00:00,1837.9
2019-01-03 16:30:00,1838.32
2019-01-03 17:00:00,1837.7
2019-01-03 17:30:00,1828.5
2019-01-03 18:00:00,1829.9
2019-01-03 18:30:00,1829.26
2019-01-03 19:00:00,1828.22
2019-01-03 19:30:00,1828.22
2019-01-03 20:00:00,1828.7
2019-01-03 20:30:00,1829.5
2019-01-03 21:00:00,1829.2
2019-01-03 21:30:00,1828.66
2019-01-03 22:00:00,1827.36
2019-01-03 22:30:00,1828.52
2019-01-03 23:00:00,1828.98
2019-01-03 23:30:00,1828.4
2019-01-04 00:00:00,1828.32
2019-01-04 00:30:00,1827.32
2019-01-04 01:00:00,1828.12
2019-01-04 01:30:00,1828.42
2019-01-04 02:00:00,1827.54
2019-01-04 02:30:00,1828.3
2019-01-04 03:00:00,1827.84
2019-01-04 03:30:00,1827.4
2019-01-04 04:00:00,1827.54
2019-01-04 04:30:00,1828.6
2019-01-04 05:00:00,1828.0
2019-01-04 05:30:00,1828.3
2019-01-04 06:00:00,1827.36
2019-01-04 06:30:00,1827.56
2019-01-04 07:00:00,1828.28
2019-01-04 07:30:00,1829.7
2019-01-04 08:00:00,1828.4
2019-01-04 08:30:00,1827.12
2019-01-04 09:00:00,1826.46
2019-01-04 09:30:00,1825.46
2019-01-04 10:00:00,1826.26
2019-01-04 10:30:00,1826.92
2019-01-04 11:00:00,1828.22
2019-01-04 11:30:00,1826.36
2019-01-04 12:00:00,1827.3
2019-01-04 12:30:00,1828.24
2019-01-04 13:00:00,1827.32
2019-01-04 13:30:00,1823.46
2019-01-04 14:00:00,1829.52
2019-01-04 14:30:00,1828.64
2019-01-04 15:00:00,1827.76
2019-01-04 15:30:00,1826.96
2019-01-04 16:00:00,1824.28
2019-01-04 16:30:00,1825.26
2019-01-04 17:00:00,1824.36
2019-01-04 17:30:00,1826.0
2019-01-04 18:00:00,1822.48
2019-01-04 18:30:00,1823.6
2019-01-04 19:00:00,1824.88
2019-01-04 19:30:00,799.82
2019-01-04 20:00:00,9.14
2019-01-04 20:30:00,9.26
2019-01-04 21:00:00,9.32
2019-01-04 21:30:00,8.82
2019-01-04 22:00:00,8.86
2019-01-04 22:30:00,8.84
2019-01-04 23:00:00,8.78
2019-01-04 23:30:00,8.9
2019-01-05 00:00:00,8.56
2019-01-05 00:30:00,8.58
2019-01-05 01:00:00,8.94
2019-01-05 01:30:00,10.14
2019-01-05 02:00:00,10.14
2019-01-05 02:30:00,9.84
2019-01-05 03:00:00,10.06
2019-01-05 03:30:00,10.08
2019-01-05 04:00:00,9.82
2019-01-05 04:30:00,9.98
2019-01-05 05:00:00,9.78
2019-01-05 05:30:00,9.84
2019-01-05 06:00:00,9.94
2019-01-05 06:30:00,10.04
2019-01-05 07:00:00,10.16
2019-01-05 07:30:00,13.2
2019-01-05 08:00:00,15.74
2019-01-05 08:30:00,16.54
2019-01-05 09:00:00,16.6
2019-01-05 09:30:00,16.24
2019-01-05 10:00:00,16.34
2019-01-05 10:30:00,16.4
2019-01-05 11:00:00,15.6
2019-01-05 11:30:00,16.76
2019-01-05 12:00:00,16.32
2019-01-05 12:30:00,16.22
2019-01-05 13:00:00,16.14
2019-01-05 13:30:00,16.56
2019-01-05 14:00:00,16.48
2019-01-05 14:30:00,15.76
2019-01-05 15:00:00,14.78
2019-01-05 15:30:00,9.38
2019-01-05 16:00:00,9.58
2019-01-05 16:30:00,9.44
2019-01-05 17:00:00,9.32
2019-01-05 17:30:00,9.02
2019-01-05 18:00:00,8.82
2019-01-05 18:30:00,8.98
2019-01-05 19:00:00,8.8
2019-01-05 19:30:00,8.74
2019-01-05 20:00:00,8.66
2019-01-05 20:30:00,8.44
2019-01-05 21:00:00,8.56
2019-01-05 21:30:00,8.4
2019-01-05 22:00:00,8.42
2019-01-05 22:30:00,9.14
2019-01-05 23:00:00,9.24
2019-01-05 23:30:00,8.34
2019-01-06 00:00:00,8.22
2019-01-06 00:30:00,8.14
2019-01-06 01:00:00,8.16
2019-01-06 01:30:00,8.44
2019-01-06 02:00:00,8.06
2019-01-06 02:30:00,7.84
2019-01-06 03:00:00,7.98
2019-01-06 03:30:00,8.0
2019-01-06 04:00:00,7.82
2019-01-06 04:30:00,7.64
2019-01-06 05:00:00,7.94
2019-01-06 05:30:00,7.72
2019-01-06 06:00:00,7.94
2019-01-06 06:30:00,7.92
2019-01-06 07:00:00,8.22
2019-01-06 07:30:00,8.62
2019-01-06 08:00:00,8.42
2019-01-06 08:30:00,8.22
2019-01-06 09:00:00,8.42
2019-01-06 09:30:00,8.44
2019-01-06 10:00:00,8.96
2019-01-06 10:30:00,10.12
2019-01-06 11:00:00,13.8
2019-01-06 11:30:00,13.48
2019-01-06 12:00:00,13.66
2019-01-06 12:30:00,15.28
2019-01-06 13:00:00,13.58
2019-01-06 13:30:00,13.86
2019-01-06 14:00:00,14.2
2019-01-06 14:30:00,14.86
2019-01-06 15:00:00,9.68
2019-01-06 15:30:00,939.8
2019-01-06 16:00:00,1014.4
2019-01-06 16:30:00,7.68
2019-01-06 17:00:00,7.94
2019-01-06 17:30:00,8.3
2019-01-06 18:00:00,8.42
2019-01-06 18:30:00,8.32
2019-01-06 19:00:00,8.46
2019-01-06 19:30:00,9.16
2019-01-06 20:00:00,8.86
2019-01-06 20:30:00,8.42
2019-01-06 21:00:00,8.52
2019-01-06 21:30:00,8.38
2019-01-06 22:00:00,8.42
2019-01-06 22:30:00,8.28
2019-01-06 23:00:00,8.16
2019-01-06 23:30:00,8.18
2019-01-07 00:00:00,7.88
2019-01-07 00:30:00,7.96
2019-01-07 01:00:00,7.98
2019-01-07 01:30:00,8.04
2019-01-07 02:00:00,7.98
2019-01-07 02:30:00,7.82
2019-01-07 03:00:00,8.02
2019-01-07 03:30:00,7.96
2019-01-07 04:00:00,7.7
2019-01-07 04:30:00,7.84
2019-01-07 05:00:00,7.68
2019-01-07 05:30:00,7.9
2019-01-07 06:00:00,7.74
2019-01-07 06:30:00,8.08
2019-01-07 07:00:00,8.04
2019-01-07 07:30:00,8.46
2019-01-07 08:00:00,1140.22
2019-01-07 08:30:00,1871.28
2019-01-07 09:00:00,1869.68
2019-01-07 09:30:00,1869.84
2019-01-07 10:00:00,775.38
2019-01-07 10:30:00,14.86
2019-01-07 11:00:00,14.74
2019-01-07 11:30:00,14.92
2019-01-07 12:00:00,283.58
2019-01-07 12:30:00,1843.2
2019-01-07 13:00:00,1840.7
2019-01-07 13:30:00,81.04
2019-01-07 14:00:00,15.92
2019-01-07 14:30:00,15.92
2019-01-07 15:00:00,15.76
2019-01-07 15:30:00,1233.9
2019-01-07 16:00:00,1834.68
2019-01-07 16:30:00,1831.42
2019-01-07 17:00:00,1835.88
2019-01-07 17:30:00,1832.3
2019-01-07 18:00:00,1834.86
2019-01-07 18:30:00,1834.8
2019-01-07 19:00:00,1833.98
2019-01-07 19:30:00,1833.34
2019-01-07 20:00:00,1833.1
2019-01-07 20:30:00,1832.54
2019-01-07 21:00:00,1832.6
2019-01-07 21:30:00,1834.1
2019-01-07 22:00:00,1833.32
2019-01-07 22:30:00,1834.12
2019-01-07 23:00:00,1835.46
2019-01-07 23:30:00,1831.84
2019-01-08 00:00:00,1832.0
2019-01-08 00:30:00,1832.32
2019-01-08 01:00:00,1831.2
2019-01-08 01:30:00,1831.3
2019-01-08 02:00:00,1832.48
2019-01-08 02:30:00,1831.34
2019-01-08 03:00:00,1830.28
2019-01-08 03:30:00,1832.16
2019-01-08 04:00:00,1830.06
2019-01-08 04:30:00,1832.46
2019-01-08 05:00:00,1831.66
2019-01-08 05:30:00,1833.48
2019-01-08 06:00:00,1833.86
2019-01-08 06:30:00,1833.14
2019-01-08 07:00:00,1832.68
2019-01-08 07:30:00,1832.76
2019-01-08 08:00:00,1833.36
2019-01-08 08:30:00,538.42
2019-01-08 09:00:00,1462.02
2019-01-08 09:30:00,1833.52
2019-01-08 10:00:00,1832.26
2019-01-08 10:30:00,1830.9
2019-01-08 11:00:00,1834.14
2019-01-08 11:30:00,1833.36
2019-01-08 12:00:00,1830.5
2019-01-08 12:30:00,1830.62
2019-01-08 13:00:00,1834.58
