TS,Load
2019-01-01 23:30:00,217.52
2019-01-02 00:00:00,221.38
2019-01-02 00:30:00,222.14
2019-01-02 01:00:00,215.02
2019-01-02 01:30:00,214.62
2019-01-02 02:00:00,214.88
2019-01-02 02:30:00,215.34
2019-01-02 03:00:00,215.3
2019-01-02 03:30:00,215.58
2019-01-02 04:00:00,213.32
2019-01-02 04:30:00,263.38
2019-01-02 05:00:00,289.64
2019-01-02 05:30:00,280.32
2019-01-02 06:00:00,278.22
2019-01-02 06:30:00,317.08
2019-01-02 07:00:00,367.52
2019-01-02 07:30:00,392.56
2019-01-02 08:00:00,401.02
2019-01-02 08:30:00,393.64
2019-01-02 09:00:00,393.96
2019-01-02 09:30:00,401.64
2019-01-02 10:00:00,392.6
2019-01-02 10:30:00,399.8
2019-01-02 11:00:00,395.48
2019-01-02 11:30:00,394.56
2019-01-02 12:00:00,402.3
2019-01-02 12:30:00,400.64
2019-01-02 13:00:00,394.76
2019-01-02 13:30:00,388.04
2019-01-02 14:00:00,386.9
2019-01-02 14:30:00,391.16
2019-01-02 15:00:00,386.36
2019-01-02 15:30:00,388.16
2019-01-02 16:00:00,389.62
2019-01-02 16:30:00,382.46
2019-01-02 17:00:00,378.86
2019-01-02 17:30:00,353.22
2019-01-02 18:00:00,325.82
2019-01-02 18:30:00,280.48
2019-01-02 19:00:00,242.4
2019-01-02 19:30:00,238.72
2019-01-02 20:00:00,239.72
2019-01-02 20:30:00,240.82
2019-01-02 21:00:00,243.5
2019-01-02 21:30:00,236.94
2019-01-02 22:00:00,225.8
2019-01-02 22:30:00,225.12
2019-01-02 23:00:00,222.34
2019-01-02 23:30:00,215.0
2019-01-03 00:00:00,210.02
2019-01-03 00:30:00,209.32
2019-01-03 01:00:00,205.64
2019-01-03 01:30:00,202.76
2019-01-03 02:00:00,201.98
2019-01-03 02:30:00,203.6
2019-01-03 03:00:00,202.32
2019-01-03 03:30:00,202.24
2019-01-03 04:00:00,202.6
2019-01-03 04:30:00,210.78
2019-01-03 05:00:00,209.18
2019-01-03 05:30:00,206.68
2019-01-03 06:00:00,207.36
2019-01-03 06:30:00,233.94
