TS,Load
2019-01-01 23:30:00,130.28
2019-01-02 00:00:00,96.64
2019-01-02 00:30:00,97.26
2019-01-02 01:00:00,95.46
2019-01-02 01:30:00,96.02
2019-01-02 02:00:00,96.16
2019-01-02 02:30:00,95.3
2019-01-02 03:00:00,95.96
2019-01-02 03:30:00,99.98
2019-01-02 04:00:00,96.14
2019-01-02 04:30:00,95.98
2019-01-02 05:00:00,140.2
2019-01-02 05:30:00,163.48
2019-01-02 06:00:00,155.32
2019-01-02 06:30:00,139.96
2019-01-02 07:00:00,149.34
2019-01-02 07:30:00,135.74
2019-01-02 08:00:00,131.86
2019-01-02 08:30:00,141.98
2019-01-02 09:00:00,133.62
2019-01-02 09:30:00,137.9
2019-01-02 10:00:00,141.74
2019-01-02 10:30:00,147.36
2019-01-02 11:00:00,148.54
2019-01-02 11:30:00,141.56
2019-01-02 12:00:00,144.34
2019-01-02 12:30:00,149.22
2019-01-02 13:00:00,139.22
2019-01-02 13:30:00,142.5
2019-01-02 14:00:00,138.88
2019-01-02 14:30:00,140.42
2019-01-02 15:00:00,139.9
2019-01-02 15:30:00,141.3
2019-01-02 16:00:00,140.48
2019-01-02 16:30:00,136.22
2019-01-02 17:00:00,145.16
2019-01-02 17:30:00,142.98
2019-01-02 18:00:00,133.04
2019-01-02 18:30:00,146.2
2019-01-02 19:00:00,154.28
2019-01-02 19:30:00,162.28
2019-01-02 20:00:00,162.76
2019-01-02 20:30:00,160.28
2019-01-02 21:00:00,155.02
2019-01-02 21:30:00,162.26
2019-01-02 22:00:00,159.22
2019-01-02 22:30:00,163.02
2019-01-02 23:00:00,159.58
2019-01-02 23:30:00,129.04
2019-01-03 00:00:00,94.28
2019-01-03 00:30:00,95.56
2019-01-03 01:00:00,96.1
2019-01-03 01:30:00,95.68
2019-01-03 02:00:00,98.52
2019-01-03 02:30:00,97.42
2019-01-03 03:00:00,96.72
2019-01-03 03:30:00,96.5
2019-01-03 04:00:00,96.62
2019-01-03 04:30:00,96.66
2019-01-03 05:00:00,144.3
2019-01-03 05:30:00,159.84
2019-01-03 06:00:00,148.84
2019-01-03 06:30:00,139.28
2019-01-03 07:00:00,138.28
2019-01-03 07:30:00,133.84
2019-01-03 08:00:00,135.42
2019-01-03 08:30:00,132.06
