TS,Load
2019-01-01 23:30:00,765.92
2019-01-02 00:00:00,766.34
2019-01-02 00:30:00,766.74
2019-01-02 01:00:00,684.22
2019-01-02 01:30:00,575.1
2019-01-02 02:00:00,575.04
2019-01-02 02:30:00,574.98
2019-01-02 03:00:00,744.98
2019-01-02 03:30:00,766.26
2019-01-02 04:00:00,766.52
2019-01-02 04:30:00,766.2
2019-01-02 05:00:00,694.2
2019-01-02 05:30:00,575.58
2019-01-02 06:00:00,575.3
2019-01-02 06:30:00,575.42
2019-01-02 07:00:00,743.1
2019-01-02 07:30:00,770.08
2019-01-02 08:00:00,769.36
2019-01-02 08:30:00,770.58
2019-01-02 09:00:00,729.72
2019-01-02 09:30:00,581.1
2019-01-02 10:00:00,578.32
2019-01-02 10:30:00,568.58
2019-01-02 11:00:00,707.4
2019-01-02 11:30:00,765.68
2019-01-02 12:00:00,765.86
2019-01-02 12:30:00,765.96
2019-01-02 13:00:00,714.6
2019-01-02 13:30:00,574.96
2019-01-02 14:00:00,574.4
2019-01-02 14:30:00,575.16
2019-01-02 15:00:00,731.06
2019-01-02 15:30:00,764.6
2019-01-02 16:00:00,761.7
2019-01-02 16:30:00,761.46
2019-01-02 17:00:00,671.1
2019-01-02 17:30:00,570.14
2019-01-02 18:00:00,570.76
2019-01-02 18:30:00,570.34
2019-01-02 19:00:00,720.98
2019-01-02 19:30:00,761.26
2019-01-02 20:00:00,760.86
2019-01-02 20:30:00,761.46
2019-01-02 21:00:00,672.1
2019-01-02 21:30:00,571.34
2019-01-02 22:00:00,570.88
2019-01-02 22:30:00,569.48
2019-01-02 23:00:00,720.28
2019-01-02 23:30:00,762.14
2019-01-03 00:00:00,762.66
2019-01-03 00:30:00,762.16
2019-01-03 01:00:00,678.32
2019-01-03 01:30:00,571.54
2019-01-03 02:00:00,571.18
2019-01-03 02:30:00,571.52
2019-01-03 03:00:00,730.16
2019-01-03 03:30:00,762.14
2019-01-03 04:00:00,763.46
2019-01-03 04:30:00,762.64
2019-01-03 05:00:00,673.16
2019-01-03 05:30:00,571.78
2019-01-03 06:00:00,571.78
2019-01-03 06:30:00,571.3
2019-01-03 07:00:00,733.32
2019-01-03 07:30:00,760.92
2019-01-03 08:00:00,761.1
2019-01-03 08:30:00,761.78
2019-01-03 09:00:00,661.1
2019-01-03 09:30:00,575.26
2019-01-03 10:00:00,577.42
2019-01-03 10:30:00,576.98
2019-01-03 11:00:00,767.46
2019-01-03 11:30:00,768.62
2019-01-03 12:00:00,769.06
2019-01-03 12:30:00,768.82
2019-01-03 13:00:00,695.34
2019-01-03 13:30:00,577.06
2019-01-03 14:00:00,572.52
2019-01-03 14:30:00,573.14
2019-01-03 15:00:00,724.66
2019-01-03 15:30:00,764.4
2019-01-03 16:00:00,764.0
2019-01-03 16:30:00,764.92
2019-01-03 17:00:00,687.84
2019-01-03 17:30:00,572.46
2019-01-03 18:00:00,572.7
2019-01-03 18:30:00,572.84
2019-01-03 19:00:00,724.58
2019-01-03 19:30:00,763.56
2019-01-03 20:00:00,763.28
2019-01-03 20:30:00,763.68
2019-01-03 21:00:00,687.88
2019-01-03 21:30:00,573.08
2019-01-03 22:00:00,572.26
2019-01-03 22:30:00,573.36
2019-01-03 23:00:00,728.86
2019-01-03 23:30:00,763.64
2019-01-04 00:00:00,764.0
2019-01-04 00:30:00,764.08
2019-01-04 01:00:00,685.96
2019-01-04 01:30:00,574.06
2019-01-04 02:00:00,572.66
2019-01-04 02:30:00,573.5
2019-01-04 03:00:00,730.2
2019-01-04 03:30:00,764.1
2019-01-04 04:00:00,764.16
2019-01-04 04:30:00,765.38
2019-01-04 05:00:00,686.84
2019-01-04 05:30:00,573.88
2019-01-04 06:00:00,573.36
2019-01-04 06:30:00,573.8
2019-01-04 07:00:00,733.46
2019-01-04 07:30:00,766.32
2019-01-04 08:00:00,765.44
2019-01-04 08:30:00,765.38
2019-01-04 09:00:00,696.58
2019-01-04 09:30:00,574.64
2019-01-04 10:00:00,574.76
2019-01-04 10:30:00,575.44
2019-01-04 11:00:00,733.26
2019-01-04 11:30:00,765.5
2019-01-04 12:00:00,766.16
2019-01-04 12:30:00,766.68
2019-01-04 13:00:00,695.44
2019-01-04 13:30:00,574.88
2019-01-04 14:00:00,576.44
2019-01-04 14:30:00,575.88
2019-01-04 15:00:00,735.44
2019-01-04 15:30:00,765.58
2019-01-04 16:00:00,765.72
2019-01-04 16:30:00,766.78
2019-01-04 17:00:00,692.58
2019-01-04 17:30:00,575.4
2019-01-04 18:00:00,574.34
2019-01-04 18:30:00,574.22
2019-01-04 19:00:00,729.32
2019-01-04 19:30:00,765.4
2019-01-04 20:00:00,766.1
2019-01-04 20:30:00,765.34
2019-01-04 21:00:00,693.38
2019-01-04 21:30:00,574.9
2019-01-04 22:00:00,573.76
2019-01-04 22:30:00,573.82
2019-01-04 23:00:00,732.64
2019-01-04 23:30:00,764.9
2019-01-05 00:00:00,764.9
2019-01-05 00:30:00,765.9
2019-01-05 01:00:00,695.46
2019-01-05 01:30:00,574.54
2019-01-05 02:00:00,575.66
2019-01-05 02:30:00,574.7
2019-01-05 03:00:00,733.36
2019-01-05 03:30:00,765.44
2019-01-05 04:00:00,765.64
2019-01-05 04:30:00,766.04
2019-01-05 05:00:00,695.68
2019-01-05 05:30:00,575.28
2019-01-05 06:00:00,574.92
2019-01-05 06:30:00,575.36
2019-01-05 07:00:00,732.44
2019-01-05 07:30:00,768.8
2019-01-05 08:00:00,769.82
2019-01-05 08:30:00,772.02
2019-01-05 09:00:00,732.96
2019-01-05 09:30:00,579.58
2019-01-05 10:00:00,572.82
2019-01-05 10:30:00,569.64
2019-01-05 11:00:00,691.7
2019-01-05 11:30:00,760.76
2019-01-05 12:00:00,757.62
2019-01-05 12:30:00,756.88
2019-01-05 13:00:00,675.32
2019-01-05 13:30:00,567.68
2019-01-05 14:00:00,572.4
2019-01-05 14:30:00,573.5
2019-01-05 15:00:00,452.46
2019-01-05 15:30:00,208.46
2019-01-05 16:00:00,101.48
2019-01-05 16:30:00,16.88
2019-01-05 17:00:00,16.78
2019-01-05 17:30:00,17.36
2019-01-05 18:00:00,16.82
2019-01-05 18:30:00,16.76
2019-01-05 19:00:00,16.54
2019-01-05 19:30:00,16.62
2019-01-05 20:00:00,16.56
2019-01-05 20:30:00,17.28
2019-01-05 21:00:00,17.96
2019-01-05 21:30:00,16.4
2019-01-05 22:00:00,16.42
2019-01-05 22:30:00,16.48
2019-01-05 23:00:00,16.24
2019-01-05 23:30:00,16.62
2019-01-06 00:00:00,16.7
2019-01-06 00:30:00,16.24
2019-01-06 01:00:00,16.56
2019-01-06 01:30:00,16.32
2019-01-06 02:00:00,16.72
2019-01-06 02:30:00,16.52
2019-01-06 03:00:00,16.24
2019-01-06 03:30:00,16.84
2019-01-06 04:00:00,16.74
2019-01-06 04:30:00,16.84
2019-01-06 05:00:00,16.7
2019-01-06 05:30:00,16.66
2019-01-06 06:00:00,424.44
2019-01-06 06:30:00,573.12
2019-01-06 07:00:00,681.5
2019-01-06 07:30:00,767.12
2019-01-06 08:00:00,767.76
2019-01-06 08:30:00,767.7
2019-01-06 09:00:00,757.22
2019-01-06 09:30:00,578.04
2019-01-06 10:00:00,578.02
2019-01-06 10:30:00,577.32
2019-01-06 11:00:00,681.68
2019-01-06 11:30:00,767.74
2019-01-06 12:00:00,767.1
2019-01-06 12:30:00,767.54
2019-01-06 13:00:00,759.96
2019-01-06 13:30:00,576.58
2019-01-06 14:00:00,574.64
2019-01-06 14:30:00,574.42
2019-01-06 15:00:00,664.06
2019-01-06 15:30:00,765.12
2019-01-06 16:00:00,763.02
2019-01-06 16:30:00,763.36
2019-01-06 17:00:00,742.66
2019-01-06 17:30:00,573.34
2019-01-06 18:00:00,572.4
2019-01-06 18:30:00,573.14
2019-01-06 19:00:00,665.76
2019-01-06 19:30:00,763.98
2019-01-06 20:00:00,764.9
2019-01-06 20:30:00,763.48
2019-01-06 21:00:00,736.14
2019-01-06 21:30:00,573.64
2019-01-06 22:00:00,573.08
2019-01-06 22:30:00,572.36
2019-01-06 23:00:00,673.98
2019-01-06 23:30:00,763.52
2019-01-07 00:00:00,763.74
2019-01-07 00:30:00,763.56
2019-01-07 01:00:00,730.62
2019-01-07 01:30:00,572.44
2019-01-07 02:00:00,572.36
2019-01-07 02:30:00,572.72
2019-01-07 03:00:00,678.92
2019-01-07 03:30:00,763.52
2019-01-07 04:00:00,763.5
2019-01-07 04:30:00,764.7
2019-01-07 05:00:00,726.3
2019-01-07 05:30:00,573.58
2019-01-07 06:00:00,575.64
2019-01-07 06:30:00,573.66
2019-01-07 07:00:00,689.84
2019-01-07 07:30:00,769.34
2019-01-07 08:00:00,768.8
2019-01-07 08:30:00,769.36
2019-01-07 09:00:00,765.86
2019-01-07 09:30:00,579.66
2019-01-07 10:00:00,578.74
2019-01-07 10:30:00,580.3
2019-01-07 11:00:00,677.8
2019-01-07 11:30:00,769.58
2019-01-07 12:00:00,769.78
2019-01-07 12:30:00,770.54
2019-01-07 13:00:00,770.6
2019-01-07 13:30:00,608.72
2019-01-07 14:00:00,580.72
2019-01-07 14:30:00,579.72
2019-01-07 15:00:00,662.22
2019-01-07 15:30:00,768.9
2019-01-07 16:00:00,594.46
2019-01-07 16:30:00,17.96
2019-01-07 17:00:00,17.04
2019-01-07 17:30:00,16.9
2019-01-07 18:00:00,16.96
2019-01-07 18:30:00,17.38
2019-01-07 19:00:00,17.5
2019-01-07 19:30:00,17.42
2019-01-07 20:00:00,16.46
2019-01-07 20:30:00,16.46
2019-01-07 21:00:00,16.46
2019-01-07 21:30:00,16.44
2019-01-07 22:00:00,16.6
2019-01-07 22:30:00,17.3
2019-01-07 23:00:00,16.6
2019-01-07 23:30:00,16.64
2019-01-08 00:00:00,16.68
2019-01-08 00:30:00,16.64
2019-01-08 01:00:00,16.32
2019-01-08 01:30:00,16.4
2019-01-08 02:00:00,16.86
2019-01-08 02:30:00,16.28
2019-01-08 03:00:00,16.36
2019-01-08 03:30:00,16.42
2019-01-08 04:00:00,16.4
2019-01-08 04:30:00,16.44
2019-01-08 05:00:00,18.46
2019-01-08 05:30:00,16.34
2019-01-08 06:00:00,411.84
2019-01-08 06:30:00,743.74
2019-01-08 07:00:00,744.14
2019-01-08 07:30:00,746.9
2019-01-08 08:00:00,747.2
2019-01-08 08:30:00,748.74
2019-01-08 09:00:00,624.84
2019-01-08 09:30:00,576.46
2019-01-08 10:00:00,576.2
2019-01-08 10:30:00,610.42
2019-01-08 11:00:00,748.18
2019-01-08 11:30:00,747.96
2019-01-08 12:00:00,748.12
2019-01-08 12:30:00,747.92
2019-01-08 13:00:00,749.3
2019-01-08 13:30:00,642.54
2019-01-08 14:00:00,576.66
2019-01-08 14:30:00,578.96
2019-01-08 15:00:00,585.28
2019-01-08 15:30:00,743.16
2019-01-08 16:00:00,713.18
2019-01-08 16:30:00,188.7
2019-01-08 17:00:00,73.14
2019-01-08 17:30:00,17.44
2019-01-08 18:00:00,18.0
2019-01-08 18:30:00,17.5
2019-01-08 19:00:00,18.38
2019-01-08 19:30:00,16.98
2019-01-08 20:00:00,16.7
2019-01-08 20:30:00,16.78
2019-01-08 21:00:00,17.3
2019-01-08 21:30:00,16.52
2019-01-08 22:00:00,16.7
2019-01-08 22:30:00,16.54
2019-01-08 23:00:00,16.68
2019-01-08 23:30:00,16.76
2019-01-09 00:00:00,17.28
2019-01-09 00:30:00,16.84
2019-01-09 01:00:00,16.62
2019-01-09 01:30:00,16.64
2019-01-09 02:00:00,16.74
2019-01-09 02:30:00,16.56
2019-01-09 03:00:00,17.1
2019-01-09 03:30:00,16.48
2019-01-09 04:00:00,16.44
2019-01-09 04:30:00,16.5
2019-01-09 05:00:00,17.14
2019-01-09 05:30:00,17.12
2019-01-09 06:00:00,369.36
2019-01-09 06:30:00,572.9
2019-01-09 07:00:00,643.22
2019-01-09 07:30:00,743.28
2019-01-09 08:00:00,744.18
2019-01-09 08:30:00,744.26
2019-01-09 09:00:00,746.16
2019-01-09 09:30:00,734.22
2019-01-09 10:00:00,577.32
2019-01-09 10:30:00,488.64
2019-01-09 11:00:00,17.58
2019-01-09 11:30:00,17.06
2019-01-09 12:00:00,17.18
2019-01-09 12:30:00,17.22
2019-01-09 13:00:00,17.78
2019-01-09 13:30:00,17.02
2019-01-09 14:00:00,17.0
2019-01-09 14:30:00,16.9
2019-01-09 15:00:00,17.24
2019-01-09 15:30:00,17.0
2019-01-09 16:00:00,17.54
2019-01-09 16:30:00,16.7
2019-01-09 17:00:00,16.74
2019-01-09 17:30:00,16.56
2019-01-09 18:00:00,17.92
2019-01-09 18:30:00,17.06
2019-01-09 19:00:00,17.46
2019-01-09 19:30:00,16.82
2019-01-09 20:00:00,16.58
2019-01-09 20:30:00,16.5
2019-01-09 21:00:00,16.52
2019-01-09 21:30:00,16.48
2019-01-09 22:00:00,16.76
2019-01-09 22:30:00,17.18
2019-01-09 23:00:00,16.56
2019-01-09 23:30:00,16.86
2019-01-10 00:00:00,16.66
2019-01-10 00:30:00,16.74
2019-01-10 01:00:00,16.64
2019-01-10 01:30:00,17.16
2019-01-10 02:00:00,138.74
2019-01-10 02:30:00,187.1
2019-01-10 03:00:00,103.8
2019-01-10 03:30:00,16.56
2019-01-10 04:00:00,16.44
2019-01-10 04:30:00,17.1
2019-01-10 05:00:00,17.96
2019-01-10 05:30:00,16.44
2019-01-10 06:00:00,16.48
2019-01-10 06:30:00,16.6
2019-01-10 07:00:00,414.02
2019-01-10 07:30:00,574.92
2019-01-10 08:00:00,574.04
2019-01-10 08:30:00,661.3
2019-01-10 09:00:00,745.32
2019-01-10 09:30:00,745.12
2019-01-10 10:00:00,745.16
2019-01-10 10:30:00,745.82
2019-01-10 11:00:00,734.9
2019-01-10 11:30:00,574.06
2019-01-10 12:00:00,574.12
2019-01-10 12:30:00,573.88
2019-01-10 13:00:00,657.58
2019-01-10 13:30:00,746.78
2019-01-10 14:00:00,745.98
2019-01-10 14:30:00,746.02
2019-01-10 15:00:00,746.38
2019-01-10 15:30:00,746.18
2019-01-10 16:00:00,576.94
2019-01-10 16:30:00,574.28
2019-01-10 17:00:00,102.06
2019-01-10 17:30:00,17.56
2019-01-10 18:00:00,17.38
2019-01-10 18:30:00,18.2
2019-01-10 19:00:00,18.02
2019-01-10 19:30:00,17.12
