TS,Load
2019-01-01 23:30:00,539.1
2019-01-02 00:00:00,540.96
2019-01-02 00:30:00,541.08
2019-01-02 01:00:00,528.24
2019-01-02 01:30:00,521.7
2019-01-02 02:00:00,517.68
2019-01-02 02:30:00,516.24
2019-01-02 03:00:00,523.8
2019-01-02 03:30:00,529.08
2019-01-02 04:00:00,527.7
2019-01-02 04:30:00,527.04
2019-01-02 05:00:00,518.46
2019-01-02 05:30:00,562.62
2019-01-02 06:00:00,601.14
2019-01-02 06:30:00,667.44
2019-01-02 07:00:00,691.26
2019-01-02 07:30:00,717.66
2019-01-02 08:00:00,747.0
2019-01-02 08:30:00,777.78
2019-01-02 09:00:00,789.36
2019-01-02 09:30:00,840.06
2019-01-02 10:00:00,845.94
2019-01-02 10:30:00,851.34
2019-01-02 11:00:00,867.24
2019-01-02 11:30:00,896.4
2019-01-02 12:00:00,878.58
2019-01-02 12:30:00,916.02
2019-01-02 13:00:00,902.16
2019-01-02 13:30:00,895.02
2019-01-02 14:00:00,855.6
2019-01-02 14:30:00,886.26
2019-01-02 15:00:00,816.24
2019-01-02 15:30:00,785.82
2019-01-02 16:00:00,793.32
2019-01-02 16:30:00,769.2
2019-01-02 17:00:00,746.82
2019-01-02 17:30:00,698.7
2019-01-02 18:00:00,679.92
2019-01-02 18:30:00,683.46
2019-01-02 19:00:00,670.38
2019-01-02 19:30:00,682.02
2019-01-02 20:00:00,645.24
2019-01-02 20:30:00,584.16
2019-01-02 21:00:00,582.12
2019-01-02 21:30:00,593.16
2019-01-02 22:00:00,575.58
2019-01-02 22:30:00,558.84
2019-01-02 23:00:00,549.66
2019-01-02 23:30:00,540.12
2019-01-03 00:00:00,556.44
2019-01-03 00:30:00,522.96
2019-01-03 01:00:00,512.4
2019-01-03 01:30:00,528.54
2019-01-03 02:00:00,532.62
2019-01-03 02:30:00,523.26
2019-01-03 03:00:00,499.02
2019-01-03 03:30:00,501.6
2019-01-03 04:00:00,516.0
2019-01-03 04:30:00,510.72
2019-01-03 05:00:00,521.94
2019-01-03 05:30:00,544.08
2019-01-03 06:00:00,585.72
2019-01-03 06:30:00,599.04
2019-01-03 07:00:00,599.4
2019-01-03 07:30:00,611.1
2019-01-03 08:00:00,608.52
2019-01-03 08:30:00,624.6
2019-01-03 09:00:00,637.74
2019-01-03 09:30:00,693.3
2019-01-03 10:00:00,693.66
2019-01-03 10:30:00,695.52
2019-01-03 11:00:00,647.94
2019-01-03 11:30:00,641.34
2019-01-03 12:00:00,689.64
2019-01-03 12:30:00,695.28
2019-01-03 13:00:00,699.36
2019-01-03 13:30:00,699.36
2019-01-03 14:00:00,727.08
2019-01-03 14:30:00,718.62
2019-01-03 15:00:00,688.98
2019-01-03 15:30:00,686.82
2019-01-03 16:00:00,717.0
2019-01-03 16:30:00,682.92
2019-01-03 17:00:00,647.16
2019-01-03 17:30:00,640.74
2019-01-03 18:00:00,638.88
