TS,Load
2019-01-01 23:30:00,25.42
2019-01-02 00:00:00,25.58
2019-01-02 00:30:00,25.86
2019-01-02 01:00:00,26.6
2019-01-02 01:30:00,25.28
2019-01-02 02:00:00,25.34
2019-01-02 02:30:00,27.0
2019-01-02 03:00:00,25.48
2019-01-02 03:30:00,25.26
2019-01-02 04:00:00,24.78
2019-01-02 04:30:00,24.72
2019-01-02 05:00:00,24.74
2019-01-02 05:30:00,24.82
2019-01-02 06:00:00,23.6
2019-01-02 06:30:00,22.86
2019-01-02 07:00:00,22.62
2019-01-02 07:30:00,22.58
2019-01-02 08:00:00,22.78
2019-01-02 08:30:00,24.1
2019-01-02 09:00:00,24.5
2019-01-02 09:30:00,24.26
2019-01-02 10:00:00,23.34
2019-01-02 10:30:00,24.12
2019-01-02 11:00:00,25.62
2019-01-02 11:30:00,25.06
2019-01-02 12:00:00,25.0
2019-01-02 12:30:00,23.72
2019-01-02 13:00:00,23.04
2019-01-02 13:30:00,22.82
2019-01-02 14:00:00,22.72
2019-01-02 14:30:00,23.12
2019-01-02 15:00:00,23.32
2019-01-02 15:30:00,23.52
2019-01-02 16:00:00,23.56
2019-01-02 16:30:00,23.48
2019-01-02 17:00:00,23.58
2019-01-02 17:30:00,23.68
2019-01-02 18:00:00,25.7
2019-01-02 18:30:00,24.54
2019-01-02 19:00:00,23.94
2019-01-02 19:30:00,24.76
2019-01-02 20:00:00,24.84
2019-01-02 20:30:00,26.56
2019-01-02 21:00:00,25.48
2019-01-02 21:30:00,25.72
2019-01-02 22:00:00,25.8
2019-01-02 22:30:00,25.26
2019-01-02 23:00:00,25.02
2019-01-02 23:30:00,25.36
2019-01-03 00:00:00,25.28
2019-01-03 00:30:00,25.08
2019-01-03 01:00:00,26.84
2019-01-03 01:30:00,25.42
2019-01-03 02:00:00,26.62
2019-01-03 02:30:00,25.18
2019-01-03 03:00:00,24.96
2019-01-03 03:30:00,25.26
2019-01-03 04:00:00,25.1
2019-01-03 04:30:00,24.84
2019-01-03 05:00:00,26.7
2019-01-03 05:30:00,25.1
2019-01-03 06:00:00,24.1
2019-01-03 06:30:00,23.24
2019-01-03 07:00:00,23.02
2019-01-03 07:30:00,22.36
2019-01-03 08:00:00,22.22
2019-01-03 08:30:00,22.36
2019-01-03 09:00:00,22.76
2019-01-03 09:30:00,22.84
2019-01-03 10:00:00,23.18
2019-01-03 10:30:00,23.12
2019-01-03 11:00:00,23.3
2019-01-03 11:30:00,24.14
2019-01-03 12:00:00,23.26
2019-01-03 12:30:00,23.04
2019-01-03 13:00:00,22.56
2019-01-03 13:30:00,22.62
2019-01-03 14:00:00,22.56
2019-01-03 14:30:00,24.12
2019-01-03 15:00:00,22.56
2019-01-03 15:30:00,25.24
2019-01-03 16:00:00,23.32
2019-01-03 16:30:00,23.34
2019-01-03 17:00:00,23.5
2019-01-03 17:30:00,23.62
2019-01-03 18:00:00,24.12
2019-01-03 18:30:00,24.08
2019-01-03 19:00:00,24.2
2019-01-03 19:30:00,25.86
2019-01-03 20:00:00,26.24
2019-01-03 20:30:00,24.78
2019-01-03 21:00:00,25.16
2019-01-03 21:30:00,25.4
2019-01-03 22:00:00,25.52
2019-01-03 22:30:00,25.56
2019-01-03 23:00:00,27.0
2019-01-03 23:30:00,25.12
2019-01-04 00:00:00,25.28
2019-01-04 00:30:00,24.72
2019-01-04 01:00:00,25.16
2019-01-04 01:30:00,25.26
2019-01-04 02:00:00,25.58
2019-01-04 02:30:00,25.34
2019-01-04 03:00:00,24.98
2019-01-04 03:30:00,25.74
2019-01-04 04:00:00,25.78
2019-01-04 04:30:00,24.98
2019-01-04 05:00:00,25.26
2019-01-04 05:30:00,24.72
2019-01-04 06:00:00,26.7
2019-01-04 06:30:00,23.26
2019-01-04 07:00:00,22.74
2019-01-04 07:30:00,24.26
2019-01-04 08:00:00,22.14
2019-01-04 08:30:00,22.22
2019-01-04 09:00:00,21.94
2019-01-04 09:30:00,22.36
2019-01-04 10:00:00,22.52
2019-01-04 10:30:00,22.52
2019-01-04 11:00:00,22.3
2019-01-04 11:30:00,23.2
2019-01-04 12:00:00,22.5
2019-01-04 12:30:00,22.18
2019-01-04 13:00:00,22.54
2019-01-04 13:30:00,23.38
2019-01-04 14:00:00,23.06
2019-01-04 14:30:00,23.16
2019-01-04 15:00:00,23.08
2019-01-04 15:30:00,22.9
2019-01-04 16:00:00,24.5
2019-01-04 16:30:00,23.06
2019-01-04 17:00:00,22.82
2019-01-04 17:30:00,22.66
2019-01-04 18:00:00,23.4
2019-01-04 18:30:00,23.62
2019-01-04 19:00:00,23.84
2019-01-04 19:30:00,26.38
2019-01-04 20:00:00,26.64
2019-01-04 20:30:00,24.58
2019-01-04 21:00:00,24.4
2019-01-04 21:30:00,24.44
2019-01-04 22:00:00,24.68
2019-01-04 22:30:00,24.9
2019-01-04 23:00:00,25.24
2019-01-04 23:30:00,24.92
2019-01-05 00:00:00,24.9
2019-01-05 00:30:00,24.8
2019-01-05 01:00:00,26.68
2019-01-05 01:30:00,25.0
2019-01-05 02:00:00,24.76
2019-01-05 02:30:00,24.5
2019-01-05 03:00:00,25.3
2019-01-05 03:30:00,26.1
2019-01-05 04:00:00,25.28
2019-01-05 04:30:00,24.82
2019-01-05 05:00:00,24.98
2019-01-05 05:30:00,24.64
2019-01-05 06:00:00,29.46
2019-01-05 06:30:00,31.6
2019-01-05 07:00:00,111.18
2019-01-05 07:30:00,189.92
2019-01-05 08:00:00,197.16
2019-01-05 08:30:00,197.48
2019-01-05 09:00:00,197.46
2019-01-05 09:30:00,196.14
2019-01-05 10:00:00,193.64
2019-01-05 10:30:00,194.08
2019-01-05 11:00:00,193.84
2019-01-05 11:30:00,194.32
2019-01-05 12:00:00,195.88
2019-01-05 12:30:00,197.54
2019-01-05 13:00:00,196.92
2019-01-05 13:30:00,199.38
2019-01-05 14:00:00,200.78
2019-01-05 14:30:00,198.12
2019-01-05 15:00:00,189.28
2019-01-05 15:30:00,186.5
2019-01-05 16:00:00,48.58
2019-01-05 16:30:00,25.78
2019-01-05 17:00:00,26.1
2019-01-05 17:30:00,26.16
2019-01-05 18:00:00,26.48
2019-01-05 18:30:00,27.62
2019-01-05 19:00:00,25.82
2019-01-05 19:30:00,26.7
2019-01-05 20:00:00,26.92
2019-01-05 20:30:00,29.84
2019-01-05 21:00:00,26.94
2019-01-05 21:30:00,27.74
2019-01-05 22:00:00,27.24
2019-01-05 22:30:00,27.26
2019-01-05 23:00:00,26.96
2019-01-05 23:30:00,26.9
2019-01-06 00:00:00,27.22
2019-01-06 00:30:00,27.22
2019-01-06 01:00:00,27.24
2019-01-06 01:30:00,27.14
2019-01-06 02:00:00,27.76
2019-01-06 02:30:00,27.96
2019-01-06 03:00:00,29.26
2019-01-06 03:30:00,26.76
2019-01-06 04:00:00,27.5
2019-01-06 04:30:00,26.86
2019-01-06 05:00:00,26.52
2019-01-06 05:30:00,26.64
2019-01-06 06:00:00,34.24
2019-01-06 06:30:00,47.92
2019-01-06 07:00:00,155.88
2019-01-06 07:30:00,188.92
2019-01-06 08:00:00,198.66
2019-01-06 08:30:00,203.96
2019-01-06 09:00:00,211.84
2019-01-06 09:30:00,204.0
2019-01-06 10:00:00,204.5
2019-01-06 10:30:00,207.76
2019-01-06 11:00:00,208.88
2019-01-06 11:30:00,208.34
2019-01-06 12:00:00,213.04
2019-01-06 12:30:00,218.38
2019-01-06 13:00:00,219.22
2019-01-06 13:30:00,217.96
2019-01-06 14:00:00,218.9
2019-01-06 14:30:00,209.68
2019-01-06 15:00:00,201.5
2019-01-06 15:30:00,196.7
2019-01-06 16:00:00,91.88
2019-01-06 16:30:00,27.04
2019-01-06 17:00:00,26.92
2019-01-06 17:30:00,26.8
2019-01-06 18:00:00,27.24
2019-01-06 18:30:00,27.38
2019-01-06 19:00:00,26.78
2019-01-06 19:30:00,29.22
2019-01-06 20:00:00,27.68
2019-01-06 20:30:00,28.58
2019-01-06 21:00:00,27.9
2019-01-06 21:30:00,28.04
2019-01-06 22:00:00,27.92
2019-01-06 22:30:00,29.24
2019-01-06 23:00:00,27.9
2019-01-06 23:30:00,28.32
2019-01-07 00:00:00,28.38
2019-01-07 00:30:00,28.58
2019-01-07 01:00:00,28.46
2019-01-07 01:30:00,28.54
2019-01-07 02:00:00,28.08
2019-01-07 02:30:00,28.18
2019-01-07 03:00:00,28.32
2019-01-07 03:30:00,28.58
2019-01-07 04:00:00,30.84
2019-01-07 04:30:00,29.34
2019-01-07 05:00:00,28.5
2019-01-07 05:30:00,28.1
2019-01-07 06:00:00,34.28
2019-01-07 06:30:00,56.72
2019-01-07 07:00:00,68.96
2019-01-07 07:30:00,119.78
2019-01-07 08:00:00,186.48
2019-01-07 08:30:00,183.18
2019-01-07 09:00:00,184.58
2019-01-07 09:30:00,182.1
2019-01-07 10:00:00,181.88
2019-01-07 10:30:00,182.52
2019-01-07 11:00:00,184.86
2019-01-07 11:30:00,184.34
2019-01-07 12:00:00,183.24
2019-01-07 12:30:00,181.72
2019-01-07 13:00:00,185.2
2019-01-07 13:30:00,183.06
2019-01-07 14:00:00,182.46
2019-01-07 14:30:00,178.56
2019-01-07 15:00:00,69.92
2019-01-07 15:30:00,34.74
2019-01-07 16:00:00,26.3
2019-01-07 16:30:00,27.06
2019-01-07 17:00:00,25.12
2019-01-07 17:30:00,24.96
2019-01-07 18:00:00,25.98
2019-01-07 18:30:00,25.78
2019-01-07 19:00:00,25.92
2019-01-07 19:30:00,27.12
2019-01-07 20:00:00,28.3
2019-01-07 20:30:00,29.6
2019-01-07 21:00:00,28.3
2019-01-07 21:30:00,27.12
2019-01-07 22:00:00,27.46
2019-01-07 22:30:00,27.42
2019-01-07 23:00:00,26.78
2019-01-07 23:30:00,26.74
2019-01-08 00:00:00,27.2
2019-01-08 00:30:00,27.32
2019-01-08 01:00:00,27.54
2019-01-08 01:30:00,27.58
2019-01-08 02:00:00,27.52
2019-01-08 02:30:00,26.9
2019-01-08 03:00:00,28.48
2019-01-08 03:30:00,27.0
2019-01-08 04:00:00,27.84
2019-01-08 04:30:00,29.34
2019-01-08 05:00:00,27.56
2019-01-08 05:30:00,29.6
2019-01-08 06:00:00,49.34
2019-01-08 06:30:00,98.76
2019-01-08 07:00:00,158.72
2019-01-08 07:30:00,204.24
2019-01-08 08:00:00,206.44
2019-01-08 08:30:00,205.38
2019-01-08 09:00:00,207.98
2019-01-08 09:30:00,213.28
2019-01-08 10:00:00,212.94
2019-01-08 10:30:00,212.16
2019-01-08 11:00:00,216.86
2019-01-08 11:30:00,216.76
2019-01-08 12:00:00,218.06
2019-01-08 12:30:00,215.5
2019-01-08 13:00:00,218.62
2019-01-08 13:30:00,218.54
2019-01-08 14:00:00,221.3
2019-01-08 14:30:00,216.12
2019-01-08 15:00:00,209.88
2019-01-08 15:30:00,202.72
2019-01-08 16:00:00,157.66
2019-01-08 16:30:00,27.38
2019-01-08 17:00:00,27.22
2019-01-08 17:30:00,27.34
2019-01-08 18:00:00,28.0
2019-01-08 18:30:00,27.9
2019-01-08 19:00:00,27.34
2019-01-08 19:30:00,29.02
2019-01-08 20:00:00,28.5
2019-01-08 20:30:00,28.2
2019-01-08 21:00:00,27.88
2019-01-08 21:30:00,28.18
2019-01-08 22:00:00,29.06
2019-01-08 22:30:00,27.96
2019-01-08 23:00:00,27.7
2019-01-08 23:30:00,28.16
2019-01-09 00:00:00,27.6
2019-01-09 00:30:00,28.12
2019-01-09 01:00:00,27.4
2019-01-09 01:30:00,27.26
2019-01-09 02:00:00,27.08
2019-01-09 02:30:00,27.16
2019-01-09 03:00:00,28.52
2019-01-09 03:30:00,28.76
2019-01-09 04:00:00,27.28
2019-01-09 04:30:00,26.98
2019-01-09 05:00:00,27.46
2019-01-09 05:30:00,32.38
2019-01-09 06:00:00,61.8
2019-01-09 06:30:00,97.8
2019-01-09 07:00:00,227.84
2019-01-09 07:30:00,225.64
2019-01-09 08:00:00,236.88
2019-01-09 08:30:00,233.84
2019-01-09 09:00:00,239.26
2019-01-09 09:30:00,265.58
2019-01-09 10:00:00,242.7
2019-01-09 10:30:00,247.26
2019-01-09 11:00:00,241.02
2019-01-09 11:30:00,272.68
2019-01-09 12:00:00,249.38
2019-01-09 12:30:00,233.54
2019-01-09 13:00:00,234.6
2019-01-09 13:30:00,235.46
2019-01-09 14:00:00,252.52
2019-01-09 14:30:00,253.7
2019-01-09 15:00:00,217.96
2019-01-09 15:30:00,182.84
2019-01-09 16:00:00,45.7
2019-01-09 16:30:00,29.24
2019-01-09 17:00:00,28.74
2019-01-09 17:30:00,28.72
2019-01-09 18:00:00,29.52
2019-01-09 18:30:00,28.88
2019-01-09 19:00:00,28.02
2019-01-09 19:30:00,28.82
2019-01-09 20:00:00,29.16
2019-01-09 20:30:00,29.22
2019-01-09 21:00:00,29.6
2019-01-09 21:30:00,29.54
2019-01-09 22:00:00,29.6
2019-01-09 22:30:00,32.2
2019-01-09 23:00:00,29.1
2019-01-09 23:30:00,29.36
2019-01-10 00:00:00,30.86
2019-01-10 00:30:00,29.26
2019-01-10 01:00:00,29.16
2019-01-10 01:30:00,29.04
2019-01-10 02:00:00,29.0
2019-01-10 02:30:00,29.3
2019-01-10 03:00:00,29.06
2019-01-10 03:30:00,29.14
2019-01-10 04:00:00,28.82
2019-01-10 04:30:00,29.16
2019-01-10 05:00:00,29.2
2019-01-10 05:30:00,29.9
2019-01-10 06:00:00,35.0
2019-01-10 06:30:00,120.7
2019-01-10 07:00:00,207.14
2019-01-10 07:30:00,204.14
2019-01-10 08:00:00,205.2
2019-01-10 08:30:00,209.6
2019-01-10 09:00:00,207.66
2019-01-10 09:30:00,209.06
2019-01-10 10:00:00,209.84
2019-01-10 10:30:00,187.68
2019-01-10 11:00:00,107.02
2019-01-10 11:30:00,74.6
2019-01-10 12:00:00,71.06
2019-01-10 12:30:00,51.76
2019-01-10 13:00:00,28.16
2019-01-10 13:30:00,28.18
2019-01-10 14:00:00,28.46
2019-01-10 14:30:00,28.22
2019-01-10 15:00:00,27.96
2019-01-10 15:30:00,28.16
2019-01-10 16:00:00,27.96
2019-01-10 16:30:00,29.68
2019-01-10 17:00:00,28.4
2019-01-10 17:30:00,28.04
2019-01-10 18:00:00,28.54
2019-01-10 18:30:00,29.8
2019-01-10 19:00:00,28.54
2019-01-10 19:30:00,28.82
2019-01-10 20:00:00,29.84
2019-01-10 20:30:00,29.98
2019-01-10 21:00:00,29.94
2019-01-10 21:30:00,29.74
2019-01-10 22:00:00,29.64
2019-01-10 22:30:00,29.46
2019-01-10 23:00:00,29.36
2019-01-10 23:30:00,29.64
2019-01-11 00:00:00,30.02
2019-01-11 00:30:00,30.64
2019-01-11 01:00:00,30.74
2019-01-11 01:30:00,29.56
2019-01-11 02:00:00,29.16
2019-01-11 02:30:00,31.62
2019-01-11 03:00:00,30.26
2019-01-11 03:30:00,29.48
2019-01-11 04:00:00,29.42
2019-01-11 04:30:00,29.64
2019-01-11 05:00:00,29.36
2019-01-11 05:30:00,29.76
2019-01-11 06:00:00,28.38
2019-01-11 06:30:00,27.0
2019-01-11 07:00:00,26.62
