TS,Load
2019-01-01 23:30:00,1127.94
2019-01-02 00:00:00,1128.92
2019-01-02 00:30:00,1126.28
2019-01-02 01:00:00,1123.82
2019-01-02 01:30:00,1132.98
2019-01-02 02:00:00,1125.2
2019-01-02 02:30:00,1136.3
2019-01-02 03:00:00,1124.5
2019-01-02 03:30:00,1127.14
2019-01-02 04:00:00,1128.72
2019-01-02 04:30:00,1126.82
2019-01-02 05:00:00,1130.54
2019-01-02 05:30:00,1128.54
2019-01-02 06:00:00,1131.84
2019-01-02 06:30:00,1114.22
2019-01-02 07:00:00,1126.62
2019-01-02 07:30:00,589.76
2019-01-02 08:00:00,684.1
2019-01-02 08:30:00,685.74
2019-01-02 09:00:00,711.04
2019-01-02 09:30:00,720.58
2019-01-02 10:00:00,735.7
2019-01-02 10:30:00,740.1
2019-01-02 11:00:00,752.76
2019-01-02 11:30:00,740.64
2019-01-02 12:00:00,729.44
2019-01-02 12:30:00,728.7
2019-01-02 13:00:00,737.32
2019-01-02 13:30:00,730.48
2019-01-02 14:00:00,728.22
2019-01-02 14:30:00,714.64
2019-01-02 15:00:00,711.18
2019-01-02 15:30:00,708.44
2019-01-02 16:00:00,708.1
2019-01-02 16:30:00,696.5
2019-01-02 17:00:00,695.26
2019-01-02 17:30:00,663.68
2019-01-02 18:00:00,626.2
2019-01-02 18:30:00,747.98
2019-01-02 19:00:00,1099.38
2019-01-02 19:30:00,1109.74
2019-01-02 20:00:00,1120.1
2019-01-02 20:30:00,1145.56
2019-01-02 21:00:00,1134.92
2019-01-02 21:30:00,1129.38
2019-01-02 22:00:00,1104.1
2019-01-02 22:30:00,1116.46
2019-01-02 23:00:00,1124.02
2019-01-02 23:30:00,1125.8
2019-01-03 00:00:00,1127.88
2019-01-03 00:30:00,1118.98
2019-01-03 01:00:00,1120.94
2019-01-03 01:30:00,1124.68
2019-01-03 02:00:00,1134.52
2019-01-03 02:30:00,1127.7
2019-01-03 03:00:00,1125.88
2019-01-03 03:30:00,1127.56
2019-01-03 04:00:00,1129.72
2019-01-03 04:30:00,1133.24
2019-01-03 05:00:00,1129.58
2019-01-03 05:30:00,1130.02
2019-01-03 06:00:00,1125.34
2019-01-03 06:30:00,1111.4
2019-01-03 07:00:00,1136.56
2019-01-03 07:30:00,1140.52
2019-01-03 08:00:00,1145.4
