TS,Load
2019-01-01 23:30:00,269.36
2019-01-02 00:00:00,267.92
2019-01-02 00:30:00,265.7
2019-01-02 01:00:00,270.06
2019-01-02 01:30:00,272.48
2019-01-02 02:00:00,274.1
2019-01-02 02:30:00,266.96
2019-01-02 03:00:00,262.6
2019-01-02 03:30:00,258.82
2019-01-02 04:00:00,258.72
2019-01-02 04:30:00,260.62
2019-01-02 05:00:00,256.78
2019-01-02 05:30:00,242.56
2019-01-02 06:00:00,190.0
2019-01-02 06:30:00,130.3
2019-01-02 07:00:00,138.9
2019-01-02 07:30:00,130.34
2019-01-02 08:00:00,129.54
2019-01-02 08:30:00,130.34
2019-01-02 09:00:00,131.88
2019-01-02 09:30:00,131.2
2019-01-02 10:00:00,131.14
2019-01-02 10:30:00,131.84
2019-01-02 11:00:00,132.14
2019-01-02 11:30:00,132.62
2019-01-02 12:00:00,132.86
2019-01-02 12:30:00,133.28
2019-01-02 13:00:00,133.52
2019-01-02 13:30:00,133.3
2019-01-02 14:00:00,133.4
2019-01-02 14:30:00,132.96
2019-01-02 15:00:00,132.92
2019-01-02 15:30:00,132.12
2019-01-02 16:00:00,131.5
2019-01-02 16:30:00,130.48
2019-01-02 17:00:00,131.3
2019-01-02 17:30:00,129.08
2019-01-02 18:00:00,130.2
2019-01-02 18:30:00,129.4
2019-01-02 19:00:00,129.88
2019-01-02 19:30:00,138.78
2019-01-02 20:00:00,139.72
2019-01-02 20:30:00,139.94
2019-01-02 21:00:00,140.64
2019-01-02 21:30:00,140.28
2019-01-02 22:00:00,141.58
2019-01-02 22:30:00,140.62
2019-01-02 23:00:00,140.46
2019-01-02 23:30:00,139.98
2019-01-03 00:00:00,139.9
2019-01-03 00:30:00,138.58
2019-01-03 01:00:00,137.34
2019-01-03 01:30:00,147.06
2019-01-03 02:00:00,145.5
2019-01-03 02:30:00,313.1
2019-01-03 03:00:00,316.18
2019-01-03 03:30:00,299.62
2019-01-03 04:00:00,284.56
2019-01-03 04:30:00,279.32
2019-01-03 05:00:00,280.2
2019-01-03 05:30:00,272.9
2019-01-03 06:00:00,277.82
2019-01-03 06:30:00,281.02
2019-01-03 07:00:00,281.46
2019-01-03 07:30:00,282.72
2019-01-03 08:00:00,280.28
2019-01-03 08:30:00,283.32
2019-01-03 09:00:00,284.24
2019-01-03 09:30:00,282.08
2019-01-03 10:00:00,280.9
2019-01-03 10:30:00,282.26
2019-01-03 11:00:00,286.58
2019-01-03 11:30:00,285.24
2019-01-03 12:00:00,288.32
2019-01-03 12:30:00,286.48
2019-01-03 13:00:00,287.74
2019-01-03 13:30:00,289.16
2019-01-03 14:00:00,285.14
2019-01-03 14:30:00,291.12
2019-01-03 15:00:00,290.4
2019-01-03 15:30:00,286.38
2019-01-03 16:00:00,285.88
2019-01-03 16:30:00,283.88
2019-01-03 17:00:00,284.2
2019-01-03 17:30:00,282.72
2019-01-03 18:00:00,282.98
2019-01-03 18:30:00,280.86
2019-01-03 19:00:00,279.2
2019-01-03 19:30:00,290.9
2019-01-03 20:00:00,290.94
2019-01-03 20:30:00,286.66
2019-01-03 21:00:00,277.68
2019-01-03 21:30:00,278.46
2019-01-03 22:00:00,278.84
2019-01-03 22:30:00,282.28
2019-01-03 23:00:00,284.16
2019-01-03 23:30:00,284.96
2019-01-04 00:00:00,289.96
2019-01-04 00:30:00,289.84
2019-01-04 01:00:00,286.74
2019-01-04 01:30:00,286.42
2019-01-04 02:00:00,285.52
2019-01-04 02:30:00,286.52
2019-01-04 03:00:00,286.94
2019-01-04 03:30:00,284.12
2019-01-04 04:00:00,283.92
2019-01-04 04:30:00,288.56
2019-01-04 05:00:00,283.66
2019-01-04 05:30:00,263.8
2019-01-04 06:00:00,259.94
2019-01-04 06:30:00,262.48
2019-01-04 07:00:00,264.22
2019-01-04 07:30:00,264.1
2019-01-04 08:00:00,271.28
2019-01-04 08:30:00,277.12
2019-01-04 09:00:00,282.84
2019-01-04 09:30:00,285.28
2019-01-04 10:00:00,285.8
2019-01-04 10:30:00,288.28
2019-01-04 11:00:00,291.62
2019-01-04 11:30:00,290.92
2019-01-04 12:00:00,292.44
2019-01-04 12:30:00,293.18
2019-01-04 13:00:00,295.38
2019-01-04 13:30:00,297.78
2019-01-04 14:00:00,299.48
2019-01-04 14:30:00,296.62
2019-01-04 15:00:00,297.54
2019-01-04 15:30:00,295.24
2019-01-04 16:00:00,294.62
2019-01-04 16:30:00,293.44
2019-01-04 17:00:00,290.54
2019-01-04 17:30:00,288.98
2019-01-04 18:00:00,286.06
2019-01-04 18:30:00,282.4
