TS,Load
2019-01-01 23:30:00,185.98
2019-01-02 00:00:00,189.38
2019-01-02 00:30:00,183.08
2019-01-02 01:00:00,188.32
2019-01-02 01:30:00,182.26
2019-01-02 02:00:00,186.68
2019-01-02 02:30:00,185.74
2019-01-02 03:00:00,184.62
2019-01-02 03:30:00,185.22
2019-01-02 04:00:00,181.18
2019-01-02 04:30:00,187.3
2019-01-02 05:00:00,187.14
2019-01-02 05:30:00,181.76
2019-01-02 06:00:00,191.06
2019-01-02 06:30:00,221.78
2019-01-02 07:00:00,223.36
2019-01-02 07:30:00,253.88
2019-01-02 08:00:00,235.36
2019-01-02 08:30:00,252.42
2019-01-02 09:00:00,247.58
2019-01-02 09:30:00,259.32
2019-01-02 10:00:00,248.02
2019-01-02 10:30:00,251.52
2019-01-02 11:00:00,251.06
2019-01-02 11:30:00,259.98
2019-01-02 12:00:00,261.06
2019-01-02 12:30:00,256.2
2019-01-02 13:00:00,263.36
2019-01-02 13:30:00,244.98
2019-01-02 14:00:00,257.68
2019-01-02 14:30:00,257.3
2019-01-02 15:00:00,248.88
2019-01-02 15:30:00,248.22
2019-01-02 16:00:00,249.6
2019-01-02 16:30:00,237.94
2019-01-02 17:00:00,234.96
2019-01-02 17:30:00,210.68
2019-01-02 18:00:00,222.4
2019-01-02 18:30:00,213.2
2019-01-02 19:00:00,218.42
2019-01-02 19:30:00,218.84
2019-01-02 20:00:00,222.22
2019-01-02 20:30:00,221.62
2019-01-02 21:00:00,217.9
2019-01-02 21:30:00,215.6
2019-01-02 22:00:00,193.96
2019-01-02 22:30:00,186.14
2019-01-02 23:00:00,197.14
2019-01-02 23:30:00,184.04
2019-01-03 00:00:00,193.24
2019-01-03 00:30:00,190.72
2019-01-03 01:00:00,187.74
2019-01-03 01:30:00,188.86
2019-01-03 02:00:00,181.96
2019-01-03 02:30:00,188.36
2019-01-03 03:00:00,188.98
2019-01-03 03:30:00,185.92
2019-01-03 04:00:00,193.7
2019-01-03 04:30:00,179.04
2019-01-03 05:00:00,192.44
2019-01-03 05:30:00,183.58
2019-01-03 06:00:00,183.14
2019-01-03 06:30:00,185.62
2019-01-03 07:00:00,181.84
2019-01-03 07:30:00,182.02
2019-01-03 08:00:00,183.92
2019-01-03 08:30:00,182.2
2019-01-03 09:00:00,186.86
2019-01-03 09:30:00,184.24
2019-01-03 10:00:00,192.8
2019-01-03 10:30:00,184.7
2019-01-03 11:00:00,191.98
2019-01-03 11:30:00,189.46
2019-01-03 12:00:00,189.92
2019-01-03 12:30:00,193.38
2019-01-03 13:00:00,187.84
2019-01-03 13:30:00,193.58
2019-01-03 14:00:00,188.52
2019-01-03 14:30:00,190.26
2019-01-03 15:00:00,186.4
2019-01-03 15:30:00,193.64
2019-01-03 16:00:00,188.34
2019-01-03 16:30:00,187.42
2019-01-03 17:00:00,189.14
2019-01-03 17:30:00,189.16
2019-01-03 18:00:00,194.92
2019-01-03 18:30:00,185.44
2019-01-03 19:00:00,190.4
2019-01-03 19:30:00,185.0
2019-01-03 20:00:00,191.06
2019-01-03 20:30:00,189.28
2019-01-03 21:00:00,189.04
2019-01-03 21:30:00,185.76
2019-01-03 22:00:00,184.36
2019-01-03 22:30:00,185.62
2019-01-03 23:00:00,177.2
2019-01-03 23:30:00,189.4
2019-01-04 00:00:00,185.52
2019-01-04 00:30:00,181.42
2019-01-04 01:00:00,187.34
2019-01-04 01:30:00,179.12
2019-01-04 02:00:00,189.26
2019-01-04 02:30:00,177.1
2019-01-04 03:00:00,186.5
2019-01-04 03:30:00,184.44
2019-01-04 04:00:00,180.34
2019-01-04 04:30:00,185.7
2019-01-04 05:00:00,183.9
2019-01-04 05:30:00,183.54
2019-01-04 06:00:00,185.3
2019-01-04 06:30:00,177.28
2019-01-04 07:00:00,182.32
2019-01-04 07:30:00,180.52
2019-01-04 08:00:00,179.76
2019-01-04 08:30:00,200.68
2019-01-04 09:00:00,191.2
2019-01-04 09:30:00,205.86
2019-01-04 10:00:00,202.7
2019-01-04 10:30:00,198.86
2019-01-04 11:00:00,204.9
2019-01-04 11:30:00,198.88
2019-01-04 12:00:00,210.92
2019-01-04 12:30:00,201.64
2019-01-04 13:00:00,207.88
2019-01-04 13:30:00,195.74
2019-01-04 14:00:00,205.48
2019-01-04 14:30:00,195.02
2019-01-04 15:00:00,190.66
2019-01-04 15:30:00,188.06
2019-01-04 16:00:00,189.16
2019-01-04 16:30:00,187.4
2019-01-04 17:00:00,183.34
2019-01-04 17:30:00,191.54
2019-01-04 18:00:00,184.54
2019-01-04 18:30:00,187.48
2019-01-04 19:00:00,182.26
2019-01-04 19:30:00,191.3
2019-01-04 20:00:00,182.34
2019-01-04 20:30:00,185.98
2019-01-04 21:00:00,185.2
2019-01-04 21:30:00,182.72
2019-01-04 22:00:00,191.44
2019-01-04 22:30:00,183.24
2019-01-04 23:00:00,191.16
2019-01-04 23:30:00,181.92
2019-01-05 00:00:00,185.94
2019-01-05 00:30:00,188.38
2019-01-05 01:00:00,178.28
2019-01-05 01:30:00,190.42
2019-01-05 02:00:00,186.26
2019-01-05 02:30:00,186.54
2019-01-05 03:00:00,188.8
2019-01-05 03:30:00,182.98
2019-01-05 04:00:00,189.38
2019-01-05 04:30:00,186.22
2019-01-05 05:00:00,184.92
2019-01-05 05:30:00,191.06
2019-01-05 06:00:00,185.16
2019-01-05 06:30:00,245.72
2019-01-05 07:00:00,225.68
2019-01-05 07:30:00,247.42
2019-01-05 08:00:00,273.16
2019-01-05 08:30:00,274.48
2019-01-05 09:00:00,270.44
2019-01-05 09:30:00,275.64
2019-01-05 10:00:00,274.6
2019-01-05 10:30:00,285.52
2019-01-05 11:00:00,283.66
2019-01-05 11:30:00,290.26
2019-01-05 12:00:00,286.2
2019-01-05 12:30:00,287.24
2019-01-05 13:00:00,296.08
2019-01-05 13:30:00,282.12
2019-01-05 14:00:00,286.92
2019-01-05 14:30:00,276.08
2019-01-05 15:00:00,274.64
2019-01-05 15:30:00,260.04
2019-01-05 16:00:00,268.0
2019-01-05 16:30:00,241.62
2019-01-05 17:00:00,260.5
2019-01-05 17:30:00,216.08
2019-01-05 18:00:00,216.7
2019-01-05 18:30:00,209.96
2019-01-05 19:00:00,217.8
2019-01-05 19:30:00,228.78
2019-01-05 20:00:00,225.22
2019-01-05 20:30:00,231.36
2019-01-05 21:00:00,222.94
2019-01-05 21:30:00,200.54
2019-01-05 22:00:00,202.92
2019-01-05 22:30:00,189.66
2019-01-05 23:00:00,195.34
2019-01-05 23:30:00,188.9
2019-01-06 00:00:00,192.38
2019-01-06 00:30:00,193.86
2019-01-06 01:00:00,184.54
2019-01-06 01:30:00,193.88
2019-01-06 02:00:00,187.74
2019-01-06 02:30:00,187.64
2019-01-06 03:00:00,192.1
2019-01-06 03:30:00,185.64
2019-01-06 04:00:00,191.54
2019-01-06 04:30:00,187.3
2019-01-06 05:00:00,188.08
2019-01-06 05:30:00,190.38
2019-01-06 06:00:00,186.86
2019-01-06 06:30:00,229.2
2019-01-06 07:00:00,234.68
2019-01-06 07:30:00,247.72
2019-01-06 08:00:00,269.16
2019-01-06 08:30:00,258.28
2019-01-06 09:00:00,267.3
2019-01-06 09:30:00,275.24
2019-01-06 10:00:00,279.58
2019-01-06 10:30:00,271.46
2019-01-06 11:00:00,274.38
2019-01-06 11:30:00,267.04
2019-01-06 12:00:00,279.6
2019-01-06 12:30:00,256.3
2019-01-06 13:00:00,274.54
2019-01-06 13:30:00,281.56
2019-01-06 14:00:00,287.7
2019-01-06 14:30:00,279.94
2019-01-06 15:00:00,260.5
2019-01-06 15:30:00,287.2
2019-01-06 16:00:00,255.12
2019-01-06 16:30:00,264.0
2019-01-06 17:00:00,229.56
2019-01-06 17:30:00,206.94
2019-01-06 18:00:00,207.44
2019-01-06 18:30:00,197.34
2019-01-06 19:00:00,200.08
2019-01-06 19:30:00,185.7
2019-01-06 20:00:00,201.1
