TS,Load
2019-01-01 23:30:00,66.254
2019-01-02 00:00:00,60.164
2019-01-02 00:30:00,64.61
2019-01-02 01:00:00,61.86
2019-01-02 01:30:00,59.744
2019-01-02 02:00:00,62.932
2019-01-02 02:30:00,58.472
2019-01-02 03:00:00,63.21
2019-01-02 03:30:00,65.42
2019-01-02 04:00:00,63.174
2019-01-02 04:30:00,61.732
2019-01-02 05:00:00,64.716
2019-01-02 05:30:00,58.834
2019-01-02 06:00:00,57.506
2019-01-02 06:30:00,52.71
2019-01-02 07:00:00,48.688
2019-01-02 07:30:00,59.688
2019-01-02 08:00:00,55.426
2019-01-02 08:30:00,55.638
2019-01-02 09:00:00,56.984
2019-01-02 09:30:00,60.83
2019-01-02 10:00:00,66.202
2019-01-02 10:30:00,75.354
2019-01-02 11:00:00,137.092
2019-01-02 11:30:00,138.572
2019-01-02 12:00:00,131.286
2019-01-02 12:30:00,117.67
2019-01-02 13:00:00,113.646
2019-01-02 13:30:00,59.924
2019-01-02 14:00:00,60.046
2019-01-02 14:30:00,62.304
2019-01-02 15:00:00,60.356
2019-01-02 15:30:00,60.15
2019-01-02 16:00:00,59.744
2019-01-02 16:30:00,59.724
2019-01-02 17:00:00,57.922
2019-01-02 17:30:00,110.776
2019-01-02 18:00:00,112.842
2019-01-02 18:30:00,54.154
2019-01-02 19:00:00,120.912
2019-01-02 19:30:00,112.9
2019-01-02 20:00:00,61.726
2019-01-02 20:30:00,106.562
2019-01-02 21:00:00,123.814
2019-01-02 21:30:00,132.296
2019-01-02 22:00:00,142.504
2019-01-02 22:30:00,118.218
2019-01-02 23:00:00,112.52
2019-01-02 23:30:00,122.404
2019-01-03 00:00:00,116.284
2019-01-03 00:30:00,131.504
2019-01-03 01:00:00,74.964
2019-01-03 01:30:00,62.642
2019-01-03 02:00:00,58.494
2019-01-03 02:30:00,58.248
2019-01-03 03:00:00,63.852
2019-01-03 03:30:00,59.388
2019-01-03 04:00:00,59.328
2019-01-03 04:30:00,64.192
2019-01-03 05:00:00,58.058
2019-01-03 05:30:00,60.21
2019-01-03 06:00:00,78.144
2019-01-03 06:30:00,111.402
2019-01-03 07:00:00,112.818
2019-01-03 07:30:00,102.408
2019-01-03 08:00:00,54.878
2019-01-03 08:30:00,50.19
2019-01-03 09:00:00,51.102
2019-01-03 09:30:00,49.722
2019-01-03 10:00:00,50.08
2019-01-03 10:30:00,48.552
2019-01-03 11:00:00,49.904
2019-01-03 11:30:00,56.178
2019-01-03 12:00:00,52.662
2019-01-03 12:30:00,121.438
2019-01-03 13:00:00,113.08
2019-01-03 13:30:00,116.054
2019-01-03 14:00:00,115.826
2019-01-03 14:30:00,114.354
2019-01-03 15:00:00,112.63
2019-01-03 15:30:00,116.972
2019-01-03 16:00:00,108.5
2019-01-03 16:30:00,127.516
2019-01-03 17:00:00,91.132
2019-01-03 17:30:00,45.178
2019-01-03 18:00:00,50.712
2019-01-03 18:30:00,47.846
2019-01-03 19:00:00,55.998
2019-01-03 19:30:00,52.938
2019-01-03 20:00:00,55.184
2019-01-03 20:30:00,57.708
2019-01-03 21:00:00,56.514
2019-01-03 21:30:00,53.724
2019-01-03 22:00:00,57.272
2019-01-03 22:30:00,55.424
2019-01-03 23:00:00,54.168
2019-01-03 23:30:00,57.428
2019-01-04 00:00:00,55.832
2019-01-04 00:30:00,50.992
2019-01-04 01:00:00,55.002
2019-01-04 01:30:00,53.29
2019-01-04 02:00:00,51.474
2019-01-04 02:30:00,55.642
2019-01-04 03:00:00,49.868
2019-01-04 03:30:00,52.718
2019-01-04 04:00:00,53.056
2019-01-04 04:30:00,56.196
2019-01-04 05:00:00,55.754
2019-01-04 05:30:00,50.836
2019-01-04 06:00:00,102.696
2019-01-04 06:30:00,66.624
2019-01-04 07:00:00,103.782
2019-01-04 07:30:00,102.93
2019-01-04 08:00:00,98.11
2019-01-04 08:30:00,111.664
2019-01-04 09:00:00,102.142
2019-01-04 09:30:00,97.974
2019-01-04 10:00:00,41.224
2019-01-04 10:30:00,50.786
2019-01-04 11:00:00,46.994
2019-01-04 11:30:00,51.594
2019-01-04 12:00:00,50.99
2019-01-04 12:30:00,56.302
2019-01-04 13:00:00,50.704
2019-01-04 13:30:00,52.26
2019-01-04 14:00:00,48.332
2019-01-04 14:30:00,102.946
2019-01-04 15:00:00,116.23
2019-01-04 15:30:00,90.588
2019-01-04 16:00:00,120.73
2019-01-04 16:30:00,110.424
2019-01-04 17:00:00,117.036
2019-01-04 17:30:00,100.682
2019-01-04 18:00:00,107.62
2019-01-04 18:30:00,51.078
2019-01-04 19:00:00,58.414
2019-01-04 19:30:00,72.042
2019-01-04 20:00:00,73.076
2019-01-04 20:30:00,77.72
2019-01-04 21:00:00,69.388
2019-01-04 21:30:00,73.334
2019-01-04 22:00:00,65.858
2019-01-04 22:30:00,66.358
2019-01-04 23:00:00,66.228
2019-01-04 23:30:00,60.854
2019-01-05 00:00:00,60.472
2019-01-05 00:30:00,64.558
2019-01-05 01:00:00,60.612
2019-01-05 01:30:00,62.73
2019-01-05 02:00:00,64.364
2019-01-05 02:30:00,105.16
2019-01-05 03:00:00,124.4
2019-01-05 03:30:00,132.194
2019-01-05 04:00:00,127.138
2019-01-05 04:30:00,124.098
2019-01-05 05:00:00,84.038
2019-01-05 05:30:00,56.206
2019-01-05 06:00:00,56.338
2019-01-05 06:30:00,89.348
2019-01-05 07:00:00,70.816
2019-01-05 07:30:00,65.056
2019-01-05 08:00:00,91.408
2019-01-05 08:30:00,104.46
2019-01-05 09:00:00,118.836
2019-01-05 09:30:00,76.944
2019-01-05 10:00:00,68.662
2019-01-05 10:30:00,108.662
2019-01-05 11:00:00,76.328
2019-01-05 11:30:00,109.346
2019-01-05 12:00:00,69.122
2019-01-05 12:30:00,74.356
2019-01-05 13:00:00,77.874
2019-01-05 13:30:00,88.798
2019-01-05 14:00:00,73.08
2019-01-05 14:30:00,72.054
2019-01-05 15:00:00,74.62
2019-01-05 15:30:00,69.736
2019-01-05 16:00:00,56.502
2019-01-05 16:30:00,60.84
2019-01-05 17:00:00,53.642
2019-01-05 17:30:00,56.472
2019-01-05 18:00:00,87.298
2019-01-05 18:30:00,122.146
2019-01-05 19:00:00,116.98
2019-01-05 19:30:00,131.306
2019-01-05 20:00:00,128.246
2019-01-05 20:30:00,95.142
2019-01-05 21:00:00,62.198
2019-01-05 21:30:00,62.956
2019-01-05 22:00:00,67.83
2019-01-05 22:30:00,59.452
2019-01-05 23:00:00,65.236
2019-01-05 23:30:00,161.682
2019-01-06 00:00:00,174.938
2019-01-06 00:30:00,108.742
2019-01-06 01:00:00,63.4
2019-01-06 01:30:00,59.552
2019-01-06 02:00:00,93.228
2019-01-06 02:30:00,127.562
2019-01-06 03:00:00,127.068
2019-01-06 03:30:00,128.334
2019-01-06 04:00:00,123.336
2019-01-06 04:30:00,128.082
2019-01-06 05:00:00,130.244
2019-01-06 05:30:00,119.12
2019-01-06 06:00:00,122.742
2019-01-06 06:30:00,68.904
2019-01-06 07:00:00,166.884
2019-01-06 07:30:00,203.68
2019-01-06 08:00:00,169.158
2019-01-06 08:30:00,194.458
2019-01-06 09:00:00,196.836
2019-01-06 09:30:00,191.734
2019-01-06 10:00:00,194.966
2019-01-06 10:30:00,190.33
2019-01-06 11:00:00,197.228
2019-01-06 11:30:00,190.072
2019-01-06 12:00:00,194.746
2019-01-06 12:30:00,184.676
2019-01-06 13:00:00,171.544
2019-01-06 13:30:00,169.442
2019-01-06 14:00:00,195.066
2019-01-06 14:30:00,224.41
2019-01-06 15:00:00,123.858
2019-01-06 15:30:00,70.818
2019-01-06 16:00:00,117.944
2019-01-06 16:30:00,94.548
2019-01-06 17:00:00,53.212
2019-01-06 17:30:00,50.734
2019-01-06 18:00:00,48.064
2019-01-06 18:30:00,53.644
2019-01-06 19:00:00,124.056
2019-01-06 19:30:00,124.294
2019-01-06 20:00:00,119.866
2019-01-06 20:30:00,122.394
2019-01-06 21:00:00,113.842
2019-01-06 21:30:00,106.89
2019-01-06 22:00:00,123.752
2019-01-06 22:30:00,145.834
2019-01-06 23:00:00,180.452
2019-01-06 23:30:00,203.988
2019-01-07 00:00:00,240.01
2019-01-07 00:30:00,243.142
2019-01-07 01:00:00,257.916
2019-01-07 01:30:00,114.738
2019-01-07 02:00:00,118.714
2019-01-07 02:30:00,127.948
2019-01-07 03:00:00,67.4
2019-01-07 03:30:00,56.71
2019-01-07 04:00:00,57.614
2019-01-07 04:30:00,59.92
2019-01-07 05:00:00,62.904
2019-01-07 05:30:00,57.422
2019-01-07 06:00:00,58.738
2019-01-07 06:30:00,64.506
2019-01-07 07:00:00,57.918
2019-01-07 07:30:00,80.596
2019-01-07 08:00:00,175.77
2019-01-07 08:30:00,193.19
2019-01-07 09:00:00,202.494
2019-01-07 09:30:00,199.03
2019-01-07 10:00:00,197.206
2019-01-07 10:30:00,188.762
2019-01-07 11:00:00,204.36
2019-01-07 11:30:00,197.164
2019-01-07 12:00:00,208.668
2019-01-07 12:30:00,208.588
2019-01-07 13:00:00,210.676
2019-01-07 13:30:00,176.592
2019-01-07 14:00:00,181.282
2019-01-07 14:30:00,178.272
2019-01-07 15:00:00,164.616
2019-01-07 15:30:00,145.02
2019-01-07 16:00:00,79.822
2019-01-07 16:30:00,62.79
2019-01-07 17:00:00,63.054
2019-01-07 17:30:00,60.452
