TS,Load
2019-01-01 23:30:00,672.5
2019-01-02 00:00:00,691.8
2019-01-02 00:30:00,715.98
2019-01-02 01:00:00,749.28
2019-01-02 01:30:00,775.1
2019-01-02 02:00:00,864.28
2019-01-02 02:30:00,867.62
2019-01-02 03:00:00,848.0
2019-01-02 03:30:00,909.16
2019-01-02 04:00:00,972.08
2019-01-02 04:30:00,1035.54
2019-01-02 05:00:00,1038.38
2019-01-02 05:30:00,1067.52
2019-01-02 06:00:00,1088.54
2019-01-02 06:30:00,1155.12
2019-01-02 07:00:00,1157.4
2019-01-02 07:30:00,1105.2
2019-01-02 08:00:00,1055.52
2019-01-02 08:30:00,1093.28
2019-01-02 09:00:00,1172.78
2019-01-02 09:30:00,1189.28
2019-01-02 10:00:00,1140.14
2019-01-02 10:30:00,1085.9
2019-01-02 11:00:00,1083.06
2019-01-02 11:30:00,1113.68
2019-01-02 12:00:00,1153.58
2019-01-02 12:30:00,1161.5
2019-01-02 13:00:00,1174.68
2019-01-02 13:30:00,1146.28
2019-01-02 14:00:00,1186.3
2019-01-02 14:30:00,1176.32
2019-01-02 15:00:00,1178.74
2019-01-02 15:30:00,1242.86
2019-01-02 16:00:00,1303.04
2019-01-02 16:30:00,1275.18
2019-01-02 17:00:00,1250.14
2019-01-02 17:30:00,1165.28
2019-01-02 18:00:00,1103.64
2019-01-02 18:30:00,1057.94
2019-01-02 19:00:00,1075.46
2019-01-02 19:30:00,1084.34
2019-01-02 20:00:00,1039.6
2019-01-02 20:30:00,986.62
2019-01-02 21:00:00,965.54
2019-01-02 21:30:00,989.74
2019-01-02 22:00:00,1005.26
2019-01-02 22:30:00,800.24
2019-01-02 23:00:00,705.68
2019-01-02 23:30:00,644.7
2019-01-03 00:00:00,655.34
2019-01-03 00:30:00,635.8
2019-01-03 01:00:00,658.54
2019-01-03 01:30:00,657.22
2019-01-03 02:00:00,626.8
2019-01-03 02:30:00,634.88
2019-01-03 03:00:00,630.64
2019-01-03 03:30:00,637.54
2019-01-03 04:00:00,606.12
2019-01-03 04:30:00,627.04
2019-01-03 05:00:00,629.34
2019-01-03 05:30:00,623.32
2019-01-03 06:00:00,631.78
2019-01-03 06:30:00,611.92
2019-01-03 07:00:00,633.52
2019-01-03 07:30:00,565.58
2019-01-03 08:00:00,502.98
2019-01-03 08:30:00,558.88
2019-01-03 09:00:00,495.28
2019-01-03 09:30:00,490.18
2019-01-03 10:00:00,489.62
2019-01-03 10:30:00,488.88
2019-01-03 11:00:00,479.94
2019-01-03 11:30:00,493.8
2019-01-03 12:00:00,548.14
2019-01-03 12:30:00,482.98
2019-01-03 13:00:00,487.08
2019-01-03 13:30:00,490.54
2019-01-03 14:00:00,530.76
2019-01-03 14:30:00,587.9
2019-01-03 15:00:00,538.12
2019-01-03 15:30:00,531.08
2019-01-03 16:00:00,503.24
2019-01-03 16:30:00,596.84
2019-01-03 17:00:00,643.72
2019-01-03 17:30:00,589.38
2019-01-03 18:00:00,572.62
2019-01-03 18:30:00,582.08
2019-01-03 19:00:00,590.8
2019-01-03 19:30:00,591.06
2019-01-03 20:00:00,554.52
2019-01-03 20:30:00,543.12
2019-01-03 21:00:00,593.08
2019-01-03 21:30:00,551.9
2019-01-03 22:00:00,530.8
2019-01-03 22:30:00,531.0
2019-01-03 23:00:00,553.66
2019-01-03 23:30:00,543.32
2019-01-04 00:00:00,515.66
2019-01-04 00:30:00,499.42
2019-01-04 01:00:00,522.96
2019-01-04 01:30:00,539.74
2019-01-04 02:00:00,522.2
2019-01-04 02:30:00,504.1
2019-01-04 03:00:00,504.68
2019-01-04 03:30:00,510.24
2019-01-04 04:00:00,431.28
2019-01-04 04:30:00,416.62
2019-01-04 05:00:00,415.0
2019-01-04 05:30:00,426.32
2019-01-04 06:00:00,468.16
2019-01-04 06:30:00,585.5
2019-01-04 07:00:00,581.16
2019-01-04 07:30:00,528.32
2019-01-04 08:00:00,473.22
2019-01-04 08:30:00,480.8
2019-01-04 09:00:00,543.86
2019-01-04 09:30:00,534.26
2019-01-04 10:00:00,501.94
2019-01-04 10:30:00,457.6
2019-01-04 11:00:00,483.46
2019-01-04 11:30:00,469.12
2019-01-04 12:00:00,503.4
2019-01-04 12:30:00,504.78
2019-01-04 13:00:00,514.8
2019-01-04 13:30:00,444.5
2019-01-04 14:00:00,498.38
2019-01-04 14:30:00,496.84
2019-01-04 15:00:00,509.1
2019-01-04 15:30:00,596.46
2019-01-04 16:00:00,665.52
2019-01-04 16:30:00,652.82
2019-01-04 17:00:00,605.58
2019-01-04 17:30:00,593.48
2019-01-04 18:00:00,594.28
2019-01-04 18:30:00,591.38
2019-01-04 19:00:00,618.02
2019-01-04 19:30:00,579.68
2019-01-04 20:00:00,554.56
2019-01-04 20:30:00,550.94
2019-01-04 21:00:00,552.78
2019-01-04 21:30:00,597.6
2019-01-04 22:00:00,598.78
2019-01-04 22:30:00,582.02
2019-01-04 23:00:00,590.84
2019-01-04 23:30:00,625.84
2019-01-05 00:00:00,700.46
2019-01-05 00:30:00,710.3
2019-01-05 01:00:00,727.78
2019-01-05 01:30:00,930.6
2019-01-05 02:00:00,818.44
2019-01-05 02:30:00,813.8
2019-01-05 03:00:00,868.38
2019-01-05 03:30:00,1049.6
2019-01-05 04:00:00,1087.5
2019-01-05 04:30:00,1094.66
2019-01-05 05:00:00,1118.36
2019-01-05 05:30:00,1130.12
2019-01-05 06:00:00,1159.36
2019-01-05 06:30:00,1158.56
2019-01-05 07:00:00,1209.8
2019-01-05 07:30:00,1179.56
2019-01-05 08:00:00,1122.9
2019-01-05 08:30:00,1231.9
2019-01-05 09:00:00,1148.4
2019-01-05 09:30:00,1141.46
2019-01-05 10:00:00,1135.56
2019-01-05 10:30:00,1107.36
2019-01-05 11:00:00,1125.94
2019-01-05 11:30:00,1146.72
2019-01-05 12:00:00,1193.14
2019-01-05 12:30:00,1185.78
2019-01-05 13:00:00,1161.58
2019-01-05 13:30:00,1190.62
2019-01-05 14:00:00,1140.46
2019-01-05 14:30:00,1152.52
2019-01-05 15:00:00,1115.74
2019-01-05 15:30:00,1214.78
2019-01-05 16:00:00,1269.36
2019-01-05 16:30:00,1201.08
2019-01-05 17:00:00,1210.32
2019-01-05 17:30:00,1238.4
2019-01-05 18:00:00,1184.62
2019-01-05 18:30:00,1060.8
2019-01-05 19:00:00,1107.82
2019-01-05 19:30:00,1112.76
2019-01-05 20:00:00,1075.88
2019-01-05 20:30:00,1061.82
2019-01-05 21:00:00,1094.92
2019-01-05 21:30:00,1023.3
2019-01-05 22:00:00,1033.82
2019-01-05 22:30:00,986.58
2019-01-05 23:00:00,996.3
2019-01-05 23:30:00,1024.82
