TS,Load
2019-01-01 23:30:00,61.06
2019-01-02 00:00:00,61.16
2019-01-02 00:30:00,60.7
2019-01-02 01:00:00,61.6
2019-01-02 01:30:00,61.98
2019-01-02 02:00:00,61.04
2019-01-02 02:30:00,60.32
2019-01-02 03:00:00,61.28
2019-01-02 03:30:00,59.78
2019-01-02 04:00:00,59.86
2019-01-02 04:30:00,59.04
2019-01-02 05:00:00,59.66
2019-01-02 05:30:00,57.96
2019-01-02 06:00:00,57.92
2019-01-02 06:30:00,54.02
2019-01-02 07:00:00,51.98
2019-01-02 07:30:00,53.58
2019-01-02 08:00:00,53.24
2019-01-02 08:30:00,53.06
2019-01-02 09:00:00,54.18
2019-01-02 09:30:00,52.9
2019-01-02 10:00:00,52.9
2019-01-02 10:30:00,53.88
2019-01-02 11:00:00,55.38
2019-01-02 11:30:00,55.24
2019-01-02 12:00:00,57.56
2019-01-02 12:30:00,62.72
2019-01-02 13:00:00,57.7
2019-01-02 13:30:00,60.26
2019-01-02 14:00:00,62.3
2019-01-02 14:30:00,57.62
2019-01-02 15:00:00,64.02
2019-01-02 15:30:00,62.84
2019-01-02 16:00:00,58.88
2019-01-02 16:30:00,63.94
2019-01-02 17:00:00,60.18
2019-01-02 17:30:00,56.8
2019-01-02 18:00:00,56.84
2019-01-02 18:30:00,56.32
2019-01-02 19:00:00,61.06
2019-01-02 19:30:00,61.4
2019-01-02 20:00:00,59.82
2019-01-02 20:30:00,59.62
2019-01-02 21:00:00,61.06
2019-01-02 21:30:00,63.6
2019-01-02 22:00:00,60.84
2019-01-02 22:30:00,60.38
2019-01-02 23:00:00,59.32
2019-01-02 23:30:00,60.9
2019-01-03 00:00:00,60.82
2019-01-03 00:30:00,61.22
2019-01-03 01:00:00,61.44
2019-01-03 01:30:00,60.32
2019-01-03 02:00:00,61.44
2019-01-03 02:30:00,61.32
2019-01-03 03:00:00,61.54
2019-01-03 03:30:00,61.26
2019-01-03 04:00:00,62.96
2019-01-03 04:30:00,61.66
2019-01-03 05:00:00,60.88
2019-01-03 05:30:00,61.12
2019-01-03 06:00:00,60.1
2019-01-03 06:30:00,55.58
2019-01-03 07:00:00,55.96
2019-01-03 07:30:00,53.92
2019-01-03 08:00:00,54.42
2019-01-03 08:30:00,52.36
2019-01-03 09:00:00,52.4
2019-01-03 09:30:00,52.48
2019-01-03 10:00:00,52.04
